mjd,mag,magerr
0.0,0.0,0.05
1.0,1.0,0.05
2.0,1.0,0.05
3.0,1.0,0.05
4.0,2.0,0.05
5.0,2.0,0.05
6.0,2.0,0.05
7.0,2.0,0.05
8.0,2.0,0.05
9.0,2.0,0.05
10.0,2.0,0.05
11.0,3.0,0.05
12.0,3.0,0.05
13.0,3.0,0.05
14.0,3.0,0.05
15.0,6.0,0.05
16.0,6.0,0.05
17.0,8.0,0.05
18.0,9.0,0.05
19.0,10.0,0.05
20.0,12.0,0.05
21.0,12.0,0.05
22.0,12.0,0.05
23.0,15.0,0.05
24.0,16.0,0.05
25.0,19.0,0.05
26.0,25.0,0.05
27.0,25.0,0.05
28.0,27.0,0.05
29.0,29.0,0.05
30.0,33.0,0.05
31.0,36.0,0.05
32.0,39.0,0.05
33.0,42.0,0.05
34.0,44.0,0.05
35.0,52.0,0.05
36.0,57.0,0.05
37.0,63.0,0.05
38.0,69.0,0.05
39.0,73.0,0.05
40.0,77.0,0.05
41.0,81.0,0.05
42.0,88.0,0.05
43.0,93.0,0.05
44.0,98.0,0.05
45.0,112.0,0.05
46.0,119.0,0.05
47.0,129.0,0.05
48.0,133.0,0.05
49.0,143.0,0.05
50.0,152.0,0.05
51.0,165.0,0.05
52.0,177.0,0.05
53.0,191.0,0.05
54.0,206.0,0.05
55.0,216.0,0.05
56.0,223.0,0.05
57.0,231.0,0.05
58.0,242.0,0.05
59.0,254.0,0.05
60.0,266.0,0.05
61.0,279.0,0.05
62.0,291.0,0.05
63.0,308.0,0.05
64.0,321.0,0.05
65.0,341.0,0.05
66.0,356.0,0.05
67.0,368.0,0.05
68.0,390.0,0.05
69.0,403.0,0.05
70.0,418.0,0.05
71.0,433.0,0.05
72.0,446.0,0.05
73.0,467.0,0.05
74.0,482.0,0.05
75.0,504.0,0.05
76.0,525.0,0.05
77.0,540.0,0.05
78.0,557.0,0.05
79.0,569.0,0.05
80.0,583.0,0.05
81.0,604.0,0.05
82.0,622.0,0.05
83.0,641.0,0.05
84.0,657.0,0.05
85.0,670.0,0.05
86.0,688.0,0.05
87.0,703.0,0.05
88.0,719.0,0.05
89.0,736.0,0.05
90.0,750.0,0.05
91.0,761.0,0.05
92.0,774.0,0.05
93.0,784.0,0.05
94.0,795.0,0.05
95.0,808.0,0.05
96.0,818.0,0.05
97.0,833.0,0.05
98.0,843.0,0.05
99.0,859.0,0.05
100.0,865.0,0.05
101.0,881.0,0.05
102.0,892.0,0.05
103.0,903.0,0.05
104.0,916.0,0.05
105.0,924.0,0.05
106.0,933.0,0.05
107.0,948.0,0.05
108.0,957.0,0.05
109.0,968.0,0.05
110.0,980.0,0.05
111.0,993.0,0.05
112.0,1002.0,0.05
113.0,1011.0,0.05
114.0,1015.0,0.05
115.0,1023.0,0.05
116.0,1029.0,0.05
117.0,1034.0,0.05
118.0,1041.0,0.05
119.0,1047.0,0.05
120.0,1056.0,0.05
121.0,1066.0,0.05
122.0,1075.0,0.05
123.0,1082.0,0.05
124.0,1085.0,0.05
125.0,1094.0,0.05
126.0,1100.0,0.05
127.0,1105.0,0.05
128.0,1106.0,0.05
129.0,1114.0,0.05
130.0,1116.0,0.05
131.0,1125.0,0.05
132.0,1130.0,0.05
133.0,1135.0,0.05
134.0,1138.0,0.05
135.0,1142.0,0.05
136.0,1150.0,0.05
137.0,1156.0,0.05
138.0,1165.0,0.05
139.0,1174.0,0.05
140.0,1178.0,0.05
141.0,1182.0,0.05
142.0,1187.0,0.05
143.0,1189.0,0.05
144.0,1194.0,0.05
145.0,1197.0,0.05
146.0,1201.0,0.05
147.0,1209.0,0.05
148.0,1212.0,0.05
149.0,1215.0,0.05
150.0,1223.0,0.05
151.0,1230.0,0.05
152.0,1237.0,0.05
153.0,1239.0,0.05
154.0,1243.0,0.05
155.0,1250.0,0.05
156.0,1255.0,0.05
157.0,1257.0,0.05
158.0,1263.0,0.05
159.0,1264.0,0.05
160.0,1269.0,0.05
161.0,1274.0,0.05
162.0,1275.0,0.05
163.0,1278.0,0.05
164.0,1280.0,0.05
165.0,1283.0,0.05
166.0,1287.0,0.05
167.0,1290.0,0.05
168.0,1291.0,0.05
169.0,1294.0,0.05
170.0,1296.0,0.05
171.0,1302.0,0.05
172.0,1303.0,0.05
173.0,1307.0,0.05
174.0,1310.0,0.05
175.0,1312.0,0.05
176.0,1315.0,0.05
177.0,1318.0,0.05
178.0,1320.0,0.05
179.0,1321.0,0.05
180.0,1327.0,0.05
181.0,1328.0,0.05
182.0,1328.0,0.05
183.0,1332.0,0.05
184.0,1333.0,0.05
185.0,1334.0,0.05
186.0,1342.0,0.05
187.0,1342.0,0.05
188.0,1345.0,0.05
189.0,1348.0,0.05
190.0,1350.0,0.05
191.0,1352.0,0.05
192.0,1354.0,0.05
193.0,1355.0,0.05
194.0,1357.0,0.05
195.0,1358.0,0.05
196.0,1359.0,0.05
197.0,1361.0,0.05
198.0,1361.0,0.05
199.0,1361.0,0.05
200.0,1363.0,0.05
201.0,1364.0,0.05
202.0,1364.0,0.05
203.0,1366.0,0.05
204.0,1366.0,0.05
205.0,1368.0,0.05
206.0,1370.0,0.05
207.0,1370.0,0.05
208.0,1370.0,0.05
209.0,1370.0,0.05
210.0,1370.0,0.05
211.0,1371.0,0.05
212.0,1372.0,0.05
213.0,1372.0,0.05
214.0,1372.0,0.05
215.0,1373.0,0.05
216.0,1374.0,0.05
217.0,1376.0,0.05
218.0,1376.0,0.05
219.0,1377.0,0.05
220.0,1378.0,0.05
221.0,1378.0,0.05
222.0,1378.0,0.05
223.0,1379.0,0.05
224.0,1379.0,0.05
225.0,1380.0,0.05
226.0,1380.0,0.05
227.0,1380.0,0.05
228.0,1380.0,0.05
229.0,1380.0,0.05
230.0,1380.0,0.05
231.0,1380.0,0.05
232.0,1380.0,0.05
233.0,1381.0,0.05
234.0,1381.0,0.05
235.0,1381.0,0.05
236.0,1381.0,0.05
