mjd,mag,magerr
0.0,0.0,0.05
1.0,1.0,0.05
2.0,4.0,0.05
3.0,9.0,0.05
4.0,11.0,0.05
5.0,15.0,0.05
6.0,17.0,0.05
7.0,20.0,0.05
8.0,22.0,0.05
9.0,23.0,0.05
10.0,30.0,0.05
11.0,31.0,0.05
12.0,35.0,0.05
13.0,40.0,0.05
14.0,45.0,0.05
15.0,46.0,0.05
16.0,48.0,0.05
17.0,60.0,0.05
18.0,67.0,0.05
19.0,71.0,0.05
20.0,80.0,0.05
21.0,82.0,0.05
22.0,89.0,0.05
23.0,89.0,0.05
24.0,94.0,0.05
25.0,97.0,0.05
26.0,104.0,0.05
27.0,104.0,0.05
28.0,108.0,0.05
29.0,111.0,0.05
30.0,112.0,0.05
31.0,118.0,0.05
32.0,124.0,0.05
33.0,128.0,0.05
34.0,135.0,0.05
35.0,141.0,0.05
36.0,146.0,0.05
37.0,147.0,0.05
38.0,155.0,0.05
39.0,162.0,0.05
40.0,171.0,0.05
41.0,175.0,0.05
42.0,181.0,0.05
43.0,185.0,0.05
44.0,189.0,0.05
45.0,192.0,0.05
46.0,196.0,0.05
47.0,200.0,0.05
48.0,213.0,0.05
49.0,218.0,0.05
50.0,224.0,0.05
51.0,225.0,0.05
52.0,232.0,0.05
53.0,236.0,0.05
54.0,241.0,0.05
55.0,242.0,0.05
56.0,243.0,0.05
57.0,244.0,0.05
58.0,246.0,0.05
59.0,265.0,0.05
60.0,276.0,0.05
61.0,280.0,0.05
62.0,284.0,0.05
63.0,285.0,0.05
64.0,287.0,0.05
65.0,289.0,0.05
66.0,302.0,0.05
67.0,310.0,0.05
68.0,313.0,0.05
69.0,317.0,0.05
70.0,323.0,0.05
71.0,326.0,0.05
72.0,327.0,0.05
73.0,332.0,0.05
74.0,340.0,0.05
75.0,342.0,0.05
76.0,343.0,0.05
77.0,343.0,0.05
78.0,344.0,0.05
79.0,346.0,0.05
80.0,348.0,0.05
81.0,354.0,0.05
82.0,356.0,0.05
83.0,358.0,0.05
84.0,362.0,0.05
85.0,363.0,0.05
86.0,365.0,0.05
87.0,371.0,0.05
88.0,373.0,0.05
89.0,374.0,0.05
90.0,377.0,0.05
91.0,377.0,0.05
92.0,377.0,0.05
93.0,378.0,0.05
94.0,386.0,0.05
95.0,388.0,0.05
96.0,388.0,0.05
97.0,393.0,0.05
98.0,399.0,0.05
99.0,400.0,0.05
100.0,403.0,0.05
101.0,405.0,0.05
102.0,411.0,0.05
103.0,413.0,0.05
104.0,425.0,0.05
105.0,430.0,0.05
106.0,431.0,0.05
107.0,435.0,0.05
108.0,438.0,0.05
109.0,438.0,0.05
110.0,441.0,0.05
111.0,443.0,0.05
112.0,445.0,0.05
113.0,446.0,0.05
114.0,453.0,0.05
115.0,458.0,0.05
116.0,458.0,0.05
117.0,459.0,0.05
118.0,461.0,0.05
119.0,461.0,0.05
120.0,463.0,0.05
121.0,465.0,0.05
122.0,467.0,0.05
123.0,469.0,0.05
124.0,471.0,0.05
125.0,474.0,0.05
126.0,477.0,0.05
127.0,478.0,0.05
128.0,480.0,0.05
129.0,480.0,0.05
130.0,481.0,0.05
131.0,484.0,0.05
132.0,485.0,0.05
133.0,486.0,0.05
134.0,489.0,0.05
135.0,490.0,0.05
136.0,490.0,0.05
137.0,491.0,0.05
138.0,493.0,0.05
139.0,495.0,0.05
140.0,495.0,0.05
141.0,497.0,0.05
142.0,497.0,0.05
143.0,498.0,0.05
144.0,501.0,0.05
145.0,502.0,0.05
146.0,505.0,0.05
147.0,505.0,0.05
148.0,506.0,0.05
149.0,507.0,0.05
150.0,507.0,0.05
151.0,507.0,0.05
152.0,508.0,0.05
153.0,509.0,0.05
154.0,510.0,0.05
155.0,510.0,0.05
156.0,510.0,0.05
157.0,511.0,0.05
158.0,511.0,0.05
159.0,513.0,0.05
160.0,515.0,0.05
161.0,517.0,0.05
162.0,518.0,0.05
163.0,521.0,0.05
164.0,522.0,0.05
165.0,526.0,0.05
166.0,527.0,0.05
167.0,530.0,0.05
168.0,531.0,0.05
169.0,532.0,0.05
170.0,533.0,0.05
171.0,533.0,0.05
172.0,536.0,0.05
173.0,537.0,0.05
174.0,537.0,0.05
175.0,537.0,0.05
176.0,537.0,0.05
177.0,537.0,0.05
178.0,539.0,0.05
179.0,541.0,0.05
180.0,542.0,0.05
181.0,544.0,0.05
182.0,546.0,0.05
183.0,547.0,0.05
184.0,547.0,0.05
185.0,549.0,0.05
186.0,550.0,0.05
187.0,551.0,0.05
188.0,552.0,0.05
189.0,553.0,0.05
190.0,555.0,0.05
191.0,556.0,0.05
192.0,557.0,0.05
193.0,561.0,0.05
194.0,562.0,0.05
195.0,562.0,0.05
196.0,562.0,0.05
197.0,563.0,0.05
198.0,564.0,0.05
199.0,569.0,0.05
200.0,573.0,0.05
201.0,575.0,0.05
202.0,578.0,0.05
203.0,579.0,0.05
204.0,579.0,0.05
205.0,579.0,0.05
206.0,580.0,0.05
207.0,582.0,0.05
208.0,581.0,0.05
209.0,581.0,0.05
210.0,583.0,0.05
211.0,585.0,0.05
212.0,585.0,0.05
213.0,586.0,0.05
214.0,586.0,0.05
215.0,586.0,0.05
216.0,586.0,0.05
217.0,589.0,0.05
218.0,589.0,0.05
219.0,589.0,0.05
220.0,589.0,0.05
221.0,589.0,0.05
222.0,590.0,0.05
223.0,590.0,0.05
224.0,593.0,0.05
