mjd,mag,magerr
0.0,0.0,0.05
1.0,0.0,0.05
2.0,1.0,0.05
3.0,3.0,0.05
4.0,5.0,0.05
5.0,9.0,0.05
6.0,13.0,0.05
7.0,15.0,0.05
8.0,16.0,0.05
9.0,19.0,0.05
10.0,23.0,0.05
11.0,26.0,0.05
12.0,28.0,0.05
13.0,30.0,0.05
14.0,32.0,0.05
15.0,36.0,0.05
16.0,39.0,0.05
17.0,42.0,0.05
18.0,43.0,0.05
19.0,46.0,0.05
20.0,49.0,0.05
21.0,56.0,0.05
22.0,58.0,0.05
23.0,59.0,0.05
24.0,62.0,0.05
25.0,63.0,0.05
26.0,66.0,0.05
27.0,71.0,0.05
28.0,74.0,0.05
29.0,78.0,0.05
30.0,81.0,0.05
31.0,87.0,0.05
32.0,93.0,0.05
33.0,97.0,0.05
34.0,104.0,0.05
35.0,107.0,0.05
36.0,110.0,0.05
37.0,117.0,0.05
38.0,120.0,0.05
39.0,127.0,0.05
40.0,129.0,0.05
41.0,139.0,0.05
42.0,144.0,0.05
43.0,149.0,0.05
44.0,151.0,0.05
45.0,161.0,0.05
46.0,166.0,0.05
47.0,180.0,0.05
48.0,184.0,0.05
49.0,186.0,0.05
50.0,187.0,0.05
51.0,191.0,0.05
52.0,196.0,0.05
53.0,203.0,0.05
54.0,207.0,0.05
55.0,219.0,0.05
56.0,220.0,0.05
57.0,225.0,0.05
58.0,231.0,0.05
59.0,238.0,0.05
60.0,247.0,0.05
61.0,251.0,0.05
62.0,256.0,0.05
63.0,259.0,0.05
64.0,265.0,0.05
65.0,267.0,0.05
66.0,274.0,0.05
67.0,284.0,0.05
68.0,289.0,0.05
69.0,296.0,0.05
70.0,301.0,0.05
71.0,307.0,0.05
72.0,310.0,0.05
73.0,316.0,0.05
74.0,330.0,0.05
75.0,338.0,0.05
76.0,344.0,0.05
77.0,348.0,0.05
78.0,353.0,0.05
79.0,361.0,0.05
80.0,367.0,0.05
81.0,372.0,0.05
82.0,383.0,0.05
83.0,391.0,0.05
84.0,396.0,0.05
85.0,402.0,0.05
86.0,406.0,0.05
87.0,411.0,0.05
88.0,419.0,0.05
89.0,421.0,0.05
90.0,425.0,0.05
91.0,427.0,0.05
92.0,431.0,0.05
93.0,437.0,0.05
94.0,440.0,0.05
95.0,447.0,0.05
96.0,451.0,0.05
97.0,461.0,0.05
98.0,465.0,0.05
99.0,469.0,0.05
100.0,474.0,0.05
101.0,478.0,0.05
102.0,487.0,0.05
103.0,490.0,0.05
104.0,495.0,0.05
105.0,497.0,0.05
106.0,499.0,0.05
107.0,508.0,0.05
108.0,509.0,0.05
109.0,509.0,0.05
110.0,520.0,0.05
111.0,522.0,0.05
112.0,522.0,0.05
113.0,523.0,0.05
114.0,525.0,0.05
115.0,524.0,0.05
116.0,526.0,0.05
117.0,535.0,0.05
118.0,535.0,0.05
119.0,537.0,0.05
