mjd,mag,magerr
0.0,0.0,0.05
1.0,16.0,0.05
2.0,31.0,0.05
3.0,38.0,0.05
4.0,49.0,0.05
5.0,70.0,0.05
6.0,83.0,0.05
7.0,100.0,0.05
8.0,125.0,0.05
9.0,133.0,0.05
10.0,151.0,0.05
11.0,180.0,0.05
12.0,191.0,0.05
13.0,214.0,0.05
14.0,239.0,0.05
15.0,254.0,0.05
16.0,264.0,0.05
17.0,292.0,0.05
18.0,322.0,0.05
19.0,353.0,0.05
20.0,370.0,0.05
21.0,386.0,0.05
22.0,397.0,0.05
23.0,415.0,0.05
24.0,415.0,0.05
25.0,434.0,0.05
26.0,474.0,0.05
27.0,487.0,0.05
28.0,495.0,0.05
29.0,495.0,0.05
30.0,509.0,0.05
31.0,527.0,0.05
32.0,548.0,0.05
33.0,569.0,0.05
34.0,579.0,0.05
35.0,595.0,0.05
36.0,603.0,0.05
37.0,621.0,0.05
38.0,629.0,0.05
39.0,637.0,0.05
40.0,650.0,0.05
41.0,650.0,0.05
42.0,664.0,0.05
43.0,667.0,0.05
44.0,671.0,0.05
45.0,681.0,0.05
46.0,686.0,0.05
47.0,690.0,0.05
48.0,702.0,0.05
49.0,707.0,0.05
50.0,715.0,0.05
51.0,719.0,0.05
52.0,727.0,0.05
53.0,734.0,0.05
54.0,739.0,0.05
55.0,743.0,0.05
56.0,743.0,0.05
57.0,746.0,0.05
58.0,748.0,0.05
59.0,754.0,0.05
60.0,758.0,0.05
61.0,763.0,0.05
62.0,766.0,0.05
63.0,768.0,0.05
64.0,775.0,0.05
65.0,783.0,0.05
66.0,789.0,0.05
67.0,799.0,0.05
68.0,802.0,0.05
69.0,809.0,0.05
70.0,811.0,0.05
71.0,814.0,0.05
72.0,816.0,0.05
73.0,825.0,0.05
74.0,830.0,0.05
75.0,834.0,0.05
76.0,841.0,0.05
77.0,841.0,0.05
78.0,846.0,0.05
79.0,852.0,0.05
80.0,852.0,0.05
81.0,870.0,0.05
82.0,873.0,0.05
83.0,877.0,0.05
84.0,881.0,0.05
85.0,882.0,0.05
86.0,881.0,0.05
87.0,882.0,0.05
88.0,882.0,0.05
89.0,885.0,0.05
90.0,885.0,0.05
91.0,888.0,0.05
92.0,890.0,0.05
93.0,892.0,0.05
94.0,895.0,0.05
95.0,895.0,0.05
96.0,896.0,0.05
97.0,896.0,0.05
98.0,899.0,0.05
99.0,900.0,0.05
100.0,901.0,0.05
101.0,901.0,0.05
102.0,903.0,0.05
103.0,903.0,0.05
104.0,904.0,0.05
105.0,925.0,0.05
106.0,925.0,0.05
107.0,924.0,0.05
108.0,925.0,0.05
109.0,924.0,0.05
110.0,930.0,0.05
111.0,934.0,0.05
112.0,932.0,0.05
113.0,933.0,0.05
114.0,932.0,0.05
115.0,933.0,0.05
116.0,933.0,0.05
117.0,931.0,0.05
118.0,931.0,0.05
119.0,932.0,0.05
120.0,934.0,0.05
121.0,935.0,0.05
122.0,936.0,0.05
123.0,938.0,0.05
124.0,943.0,0.05
125.0,944.0,0.05
126.0,947.0,0.05
127.0,950.0,0.05
128.0,950.0,0.05
129.0,951.0,0.05
130.0,955.0,0.05
131.0,958.0,0.05
132.0,964.0,0.05
133.0,965.0,0.05
134.0,968.0,0.05
135.0,969.0,0.05
136.0,969.0,0.05
137.0,968.0,0.05
138.0,969.0,0.05
139.0,973.0,0.05
140.0,978.0,0.05
141.0,978.0,0.05
142.0,979.0,0.05
143.0,982.0,0.05
144.0,985.0,0.05
145.0,988.0,0.05
146.0,990.0,0.05
147.0,989.0,0.05
148.0,990.0,0.05
149.0,992.0,0.05
150.0,993.0,0.05
151.0,993.0,0.05
152.0,992.0,0.05
153.0,1003.0,0.05
154.0,1002.0,0.05
155.0,1003.0,0.05
156.0,1005.0,0.05
157.0,1009.0,0.05
158.0,1013.0,0.05
159.0,1017.0,0.05
160.0,1020.0,0.05
161.0,1022.0,0.05
162.0,1025.0,0.05
163.0,1027.0,0.05
164.0,1027.0,0.05
165.0,1028.0,0.05
166.0,1030.0,0.05
167.0,1035.0,0.05
168.0,1037.0,0.05
169.0,1037.0,0.05
170.0,1037.0,0.05
171.0,1038.0,0.05
172.0,1039.0,0.05
173.0,1040.0,0.05
174.0,1043.0,0.05
175.0,1043.0,0.05
176.0,1045.0,0.05
177.0,1045.0,0.05
178.0,1045.0,0.05
179.0,1044.0,0.05
180.0,1044.0,0.05
181.0,1046.0,0.05
182.0,1047.0,0.05
183.0,1048.0,0.05
184.0,1048.0,0.05
185.0,1050.0,0.05
186.0,1051.0,0.05
187.0,1051.0,0.05
188.0,1056.0,0.05
189.0,1058.0,0.05
190.0,1060.0,0.05
191.0,1060.0,0.05
192.0,1061.0,0.05
193.0,1061.0,0.05
194.0,1061.0,0.05
195.0,1061.0,0.05
196.0,1061.0,0.05
197.0,1061.0,0.05
198.0,1065.0,0.05
199.0,1065.0,0.05
200.0,1065.0,0.05
201.0,1067.0,0.05
202.0,1067.0,0.05
203.0,1067.0,0.05
204.0,1067.0,0.05
205.0,1068.0,0.05
206.0,1067.0,0.05
207.0,1067.0,0.05
208.0,1067.0,0.05
209.0,1067.0,0.05
210.0,1067.0,0.05
211.0,1067.0,0.05
212.0,1067.0,0.05
214.0,1067.0,0.05
215.0,1067.0,0.05
216.0,1067.0,0.05
217.0,1067.0,0.05
218.0,1067.0,0.05
219.0,1067.0,0.05
220.0,1067.0,0.05
221.0,1067.0,0.05
222.0,1067.0,0.05
223.0,1067.0,0.05
224.0,1067.0,0.05
225.0,1067.0,0.05
226.0,1067.0,0.05
