mjd,mag,magerr
0.0,0.0,0.05
1.0,4.0,0.05
2.0,5.0,0.05
3.0,8.0,0.05
4.0,13.0,0.05
5.0,18.0,0.05
6.0,19.0,0.05
7.0,26.0,0.05
8.0,27.0,0.05
9.0,30.0,0.05
10.0,30.0,0.05
11.0,32.0,0.05
12.0,30.0,0.05
13.0,29.0,0.05
14.0,34.0,0.05
15.0,38.0,0.05
16.0,40.0,0.05
17.0,54.0,0.05
18.0,55.0,0.05
19.0,59.0,0.05
20.0,62.0,0.05
21.0,68.0,0.05
22.0,73.0,0.05
23.0,80.0,0.05
24.0,82.0,0.05
25.0,87.0,0.05
26.0,90.0,0.05
27.0,91.0,0.05
28.0,98.0,0.05
29.0,102.0,0.05
30.0,103.0,0.05
31.0,110.0,0.05
32.0,112.0,0.05
33.0,113.0,0.05
34.0,121.0,0.05
35.0,128.0,0.05
36.0,148.0,0.05
37.0,157.0,0.05
38.0,155.0,0.05
39.0,158.0,0.05
40.0,166.0,0.05
41.0,172.0,0.05
42.0,179.0,0.05
43.0,183.0,0.05
44.0,182.0,0.05
45.0,185.0,0.05
46.0,198.0,0.05
47.0,207.0,0.05
48.0,214.0,0.05
49.0,238.0,0.05
50.0,246.0,0.05
51.0,258.0,0.05
52.0,263.0,0.05
53.0,276.0,0.05
54.0,304.0,0.05
55.0,314.0,0.05
56.0,318.0,0.05
57.0,322.0,0.05
58.0,324.0,0.05
59.0,325.0,0.05
60.0,336.0,0.05
61.0,343.0,0.05
62.0,354.0,0.05
63.0,358.0,0.05
64.0,384.0,0.05
65.0,392.0,0.05
66.0,395.0,0.05
67.0,407.0,0.05
68.0,405.0,0.05
69.0,411.0,0.05
70.0,425.0,0.05
71.0,428.0,0.05
72.0,430.0,0.05
73.0,433.0,0.05
74.0,441.0,0.05
75.0,453.0,0.05
76.0,460.0,0.05
77.0,468.0,0.05
78.0,469.0,0.05
79.0,476.0,0.05
80.0,487.0,0.05
81.0,504.0,0.05
82.0,507.0,0.05
83.0,513.0,0.05
84.0,526.0,0.05
85.0,530.0,0.05
86.0,532.0,0.05
87.0,533.0,0.05
88.0,543.0,0.05
89.0,547.0,0.05
90.0,550.0,0.05
91.0,557.0,0.05
92.0,556.0,0.05
93.0,559.0,0.05
94.0,565.0,0.05
95.0,575.0,0.05
96.0,576.0,0.05
97.0,608.0,0.05
98.0,611.0,0.05
99.0,621.0,0.05
100.0,636.0,0.05
101.0,658.0,0.05
102.0,678.0,0.05
103.0,682.0,0.05
104.0,720.0,0.05
105.0,726.0,0.05
106.0,734.0,0.05
107.0,749.0,0.05
108.0,768.0,0.05
109.0,781.0,0.05
110.0,793.0,0.05
111.0,804.0,0.05
112.0,829.0,0.05
113.0,830.0,0.05
114.0,830.0,0.05
115.0,835.0,0.05
116.0,834.0,0.05
117.0,841.0,0.05
118.0,849.0,0.05
119.0,853.0,0.05
120.0,855.0,0.05
121.0,863.0,0.05
122.0,867.0,0.05
123.0,866.0,0.05
124.0,869.0,0.05
125.0,870.0,0.05
126.0,872.0,0.05
127.0,872.0,0.05
128.0,874.0,0.05
129.0,875.0,0.05
130.0,876.0,0.05
131.0,874.0,0.05
132.0,877.0,0.05
133.0,881.0,0.05
134.0,880.0,0.05
135.0,884.0,0.05
136.0,887.0,0.05
137.0,887.0,0.05
138.0,886.0,0.05
139.0,890.0,0.05
140.0,892.0,0.05
141.0,893.0,0.05
142.0,895.0,0.05
143.0,896.0,0.05
144.0,897.0,0.05
145.0,898.0,0.05
146.0,897.0,0.05
147.0,897.0,0.05
148.0,897.0,0.05
149.0,900.0,0.05
150.0,898.0,0.05
151.0,898.0,0.05
152.0,898.0,0.05
153.0,898.0,0.05
154.0,899.0,0.05
155.0,899.0,0.05
156.0,899.0,0.05
157.0,899.0,0.05
158.0,900.0,0.05
159.0,901.0,0.05
160.0,901.0,0.05
161.0,901.0,0.05
162.0,901.0,0.05
163.0,903.0,0.05
164.0,903.0,0.05
165.0,904.0,0.05
166.0,905.0,0.05
167.0,905.0,0.05
168.0,906.0,0.05
169.0,906.0,0.05
170.0,906.0,0.05
171.0,906.0,0.05
172.0,908.0,0.05
173.0,908.0,0.05
174.0,908.0,0.05
175.0,909.0,0.05
176.0,910.0,0.05
177.0,912.0,0.05
178.0,912.0,0.05
179.0,915.0,0.05
180.0,917.0,0.05
181.0,918.0,0.05
182.0,918.0,0.05
183.0,918.0,0.05
184.0,919.0,0.05
185.0,925.0,0.05
186.0,926.0,0.05
187.0,932.0,0.05
188.0,936.0,0.05
189.0,936.0,0.05
190.0,937.0,0.05
191.0,937.0,0.05
192.0,945.0,0.05
193.0,946.0,0.05
194.0,947.0,0.05
195.0,948.0,0.05
196.0,952.0,0.05
197.0,951.0,0.05
198.0,951.0,0.05
199.0,953.0,0.05
200.0,953.0,0.05
201.0,954.0,0.05
202.0,954.0,0.05
203.0,954.0,0.05
204.0,954.0,0.05
205.0,954.0,0.05
206.0,952.0,0.05
207.0,954.0,0.05
208.0,954.0,0.05
209.0,952.0,0.05
210.0,952.0,0.05
211.0,951.0,0.05
212.0,951.0,0.05
213.0,952.0,0.05
214.0,955.0,0.05
215.0,958.0,0.05
216.0,958.0,0.05
217.0,957.0,0.05
218.0,958.0,0.05
219.0,956.0,0.05
220.0,955.0,0.05
221.0,955.0,0.05
222.0,956.0,0.05
223.0,956.0,0.05
224.0,953.0,0.05
225.0,954.0,0.05
226.0,954.0,0.05
227.0,955.0,0.05
228.0,956.0,0.05
229.0,954.0,0.05
230.0,956.0,0.05
231.0,954.0,0.05
232.0,954.0,0.05
233.0,954.0,0.05
234.0,953.0,0.05
235.0,952.0,0.05
236.0,952.0,0.05
237.0,952.0,0.05
238.0,953.0,0.05
239.0,953.0,0.05
