mjd,mag,magerr
0.0,0.0,0.05
1.0,46.0,0.05
2.0,84.0,0.05
3.0,109.0,0.05
4.0,173.0,0.05
5.0,238.0,0.05
6.0,314.0,0.05
7.0,394.0,0.05
8.0,497.0,0.05
9.0,560.0,0.05
10.0,632.0,0.05
11.0,769.0,0.05
12.0,874.0,0.05
13.0,973.0,0.05
14.0,1136.0,0.05
15.0,1136.0,0.05
16.0,1187.0,0.05
17.0,1299.0,0.05
18.0,1395.0,0.05
19.0,1498.0,0.05
20.0,1582.0,0.05
21.0,1698.0,0.05
22.0,1773.0,0.05
23.0,1817.0,0.05
24.0,1888.0,0.05
25.0,1952.0,0.05
26.0,2039.0,0.05
27.0,2090.0,0.05
28.0,2179.0,0.05
29.0,2208.0,0.05
30.0,2273.0,0.05
31.0,2328.0,0.05
32.0,2352.0,0.05
33.0,2428.0,0.05
34.0,2486.0,0.05
35.0,2559.0,0.05
36.0,2640.0,0.05
37.0,2669.0,0.05
38.0,2705.0,0.05
39.0,2728.0,0.05
40.0,2795.0,0.05
41.0,2795.0,0.05
42.0,2888.0,0.05
43.0,2913.0,0.05
44.0,2973.0,0.05
45.0,3011.0,0.05
46.0,3033.0,0.05
47.0,3108.0,0.05
48.0,3170.0,0.05
49.0,3215.0,0.05
50.0,3234.0,0.05
51.0,3284.0,0.05
52.0,3317.0,0.05
53.0,3336.0,0.05
54.0,3384.0,0.05
55.0,3419.0,0.05
56.0,3453.0,0.05
57.0,3480.0,0.05
58.0,3504.0,0.05
59.0,3536.0,0.05
60.0,3559.0,0.05
61.0,3630.0,0.05
62.0,3678.0,0.05
63.0,3708.0,0.05
64.0,3738.0,0.05
65.0,3751.0,0.05
66.0,3795.0,0.05
67.0,3826.0,0.05
68.0,3901.0,0.05
69.0,3945.0,0.05
70.0,3987.0,0.05
71.0,4016.0,0.05
72.0,4038.0,0.05
73.0,4049.0,0.05
74.0,4063.0,0.05
75.0,4105.0,0.05
76.0,4153.0,0.05
77.0,4176.0,0.05
78.0,4193.0,0.05
79.0,4199.0,0.05
80.0,4209.0,0.05
81.0,4219.0,0.05
82.0,4240.0,0.05
83.0,4256.0,0.05
84.0,4274.0,0.05
85.0,4292.0,0.05
86.0,4302.0,0.05
87.0,4314.0,0.05
88.0,4335.0,0.05
89.0,4362.0,0.05
90.0,4388.0,0.05
91.0,4401.0,0.05
92.0,4415.0,0.05
93.0,4421.0,0.05
94.0,4435.0,0.05
95.0,4449.0,0.05
