mjd,mag,magerr
0.0,0.0,0.05
1.0,12.0,0.05
2.0,16.0,0.05
3.0,31.0,0.05
4.0,48.0,0.05
5.0,59.0,0.05
6.0,73.0,0.05
7.0,84.0,0.05
8.0,99.0,0.05
9.0,110.0,0.05
10.0,122.0,0.05
11.0,137.0,0.05
12.0,164.0,0.05
13.0,184.0,0.05
14.0,199.0,0.05
15.0,218.0,0.05
16.0,233.0,0.05
17.0,267.0,0.05
18.0,267.0,0.05
19.0,287.0,0.05
20.0,304.0,0.05
21.0,325.0,0.05
22.0,346.0,0.05
23.0,364.0,0.05
24.0,385.0,0.05
25.0,416.0,0.05
26.0,461.0,0.05
27.0,501.0,0.05
28.0,532.0,0.05
29.0,564.0,0.05
30.0,601.0,0.05
31.0,644.0,0.05
32.0,694.0,0.05
33.0,752.0,0.05
34.0,786.0,0.05
35.0,837.0,0.05
36.0,873.0,0.05
37.0,912.0,0.05
38.0,948.0,0.05
39.0,1007.0,0.05
40.0,1068.0,0.05
41.0,1080.0,0.05
42.0,1116.0,0.05
43.0,1150.0,0.05
44.0,1178.0,0.05
45.0,1209.0,0.05
46.0,1246.0,0.05
47.0,1246.0,0.05
48.0,1292.0,0.05
49.0,1420.0,0.05
50.0,1456.0,0.05
51.0,1513.0,0.05
52.0,1556.0,0.05
53.0,1629.0,0.05
54.0,1629.0,0.05
55.0,1694.0,0.05
56.0,1850.0,0.05
57.0,1919.0,0.05
58.0,1972.0,0.05
59.0,2035.0,0.05
60.0,2154.0,0.05
61.0,2263.0,0.05
62.0,2367.0,0.05
63.0,2400.0,0.05
64.0,2451.0,0.05
65.0,2491.0,0.05
66.0,2627.0,0.05
67.0,2713.0,0.05
68.0,2805.0,0.05
69.0,2955.0,0.05
70.0,3102.0,0.05
71.0,3185.0,0.05
72.0,3254.0,0.05
73.0,3313.0,0.05
74.0,3387.0,0.05
75.0,3440.0,0.05
76.0,3514.0,0.05
77.0,3599.0,0.05
78.0,3662.0,0.05
79.0,3696.0,0.05
80.0,3750.0,0.05
81.0,3806.0,0.05
82.0,3887.0,0.05
83.0,3965.0,0.05
84.0,4041.0,0.05
85.0,4100.0,0.05
86.0,4146.0,0.05
87.0,4179.0,0.05
88.0,4212.0,0.05
89.0,4299.0,0.05
90.0,4370.0,0.05
91.0,4435.0,0.05
92.0,4483.0,0.05
93.0,4536.0,0.05
94.0,4572.0,0.05
95.0,4619.0,0.05
96.0,4677.0,0.05
97.0,4728.0,0.05
98.0,4797.0,0.05
99.0,4840.0,0.05
100.0,4874.0,0.05
101.0,4893.0,0.05
102.0,4936.0,0.05
103.0,4981.0,0.05
104.0,5024.0,0.05
105.0,5054.0,0.05
106.0,5077.0,0.05
107.0,5104.0,0.05
108.0,5117.0,0.05
109.0,5192.0,0.05
110.0,5221.0,0.05
111.0,5261.0,0.05
112.0,5293.0,0.05
113.0,5317.0,0.05
114.0,5327.0,0.05
115.0,5337.0,0.05
116.0,5367.0,0.05
117.0,5384.0,0.05
118.0,5409.0,0.05
119.0,5422.0,0.05
120.0,5449.0,0.05
121.0,5467.0,0.05
122.0,5472.0,0.05
123.0,5484.0,0.05
124.0,5505.0,0.05
125.0,5559.0,0.05
126.0,5587.0,0.05
127.0,5592.0,0.05
128.0,5601.0,0.05
129.0,5624.0,0.05
130.0,5651.0,0.05
131.0,5669.0,0.05
132.0,5700.0,0.05
133.0,5723.0,0.05
134.0,5737.0,0.05
135.0,5747.0,0.05
136.0,5753.0,0.05
137.0,5763.0,0.05
138.0,5772.0,0.05
139.0,5788.0,0.05
140.0,5799.0,0.05
141.0,5815.0,0.05
142.0,5823.0,0.05
143.0,5839.0,0.05
144.0,5850.0,0.05
145.0,5869.0,0.05
146.0,5877.0,0.05
147.0,5877.0,0.05
148.0,5896.0,0.05
149.0,5902.0,0.05
150.0,5908.0,0.05
151.0,5921.0,0.05
152.0,5934.0,0.05
153.0,5951.0,0.05
154.0,5963.0,0.05
155.0,5976.0,0.05
156.0,5983.0,0.05
157.0,5992.0,0.05
158.0,6010.0,0.05
159.0,6025.0,0.05
160.0,6041.0,0.05
161.0,6056.0,0.05
162.0,6064.0,0.05
163.0,6075.0,0.05
164.0,6084.0,0.05
165.0,6096.0,0.05
166.0,6113.0,0.05
167.0,6120.0,0.05
168.0,6134.0,0.05
169.0,6140.0,0.05
170.0,6146.0,0.05
171.0,6155.0,0.05
172.0,6168.0,0.05
173.0,6179.0,0.05
