mjd,mag,magerr
0.0,0.0,0.05
1.0,0.0,0.05
2.0,0.0,0.05
3.0,14.0,0.05
4.0,14.0,0.05
5.0,22.0,0.05
6.0,27.0,0.05
7.0,36.0,0.05
8.0,39.0,0.05
9.0,43.0,0.05
10.0,46.0,0.05
11.0,50.0,0.05
12.0,50.0,0.05
13.0,51.0,0.05
14.0,52.0,0.05
15.0,53.0,0.05
16.0,58.0,0.05
17.0,62.0,0.05
18.0,67.0,0.05
19.0,72.0,0.05
20.0,78.0,0.05
21.0,82.0,0.05
22.0,86.0,0.05
23.0,103.0,0.05
24.0,106.0,0.05
25.0,110.0,0.05
26.0,114.0,0.05
27.0,115.0,0.05
28.0,119.0,0.05
29.0,125.0,0.05
30.0,129.0,0.05
31.0,137.0,0.05
32.0,142.0,0.05
33.0,147.0,0.05
34.0,151.0,0.05
35.0,159.0,0.05
36.0,165.0,0.05
37.0,176.0,0.05
38.0,183.0,0.05
39.0,185.0,0.05
40.0,190.0,0.05
41.0,193.0,0.05
42.0,197.0,0.05
43.0,197.0,0.05
44.0,212.0,0.05
45.0,219.0,0.05
46.0,230.0,0.05
47.0,235.0,0.05
48.0,244.0,0.05
49.0,247.0,0.05
50.0,268.0,0.05
51.0,288.0,0.05
52.0,289.0,0.05
53.0,289.0,0.05
54.0,296.0,0.05
55.0,296.0,0.05
56.0,298.0,0.05
57.0,320.0,0.05
58.0,323.0,0.05
59.0,334.0,0.05
60.0,352.0,0.05
61.0,376.0,0.05
62.0,384.0,0.05
63.0,390.0,0.05
64.0,405.0,0.05
65.0,419.0,0.05
66.0,416.0,0.05
67.0,450.0,0.05
68.0,464.0,0.05
69.0,475.0,0.05
70.0,505.0,0.05
71.0,529.0,0.05
72.0,545.0,0.05
73.0,564.0,0.05
74.0,578.0,0.05
75.0,597.0,0.05
76.0,613.0,0.05
77.0,646.0,0.05
78.0,697.0,0.05
79.0,720.0,0.05
80.0,737.0,0.05
81.0,748.0,0.05
82.0,756.0,0.05
83.0,772.0,0.05
84.0,801.0,0.05
85.0,819.0,0.05
86.0,835.0,0.05
87.0,866.0,0.05
88.0,879.0,0.05
89.0,901.0,0.05
90.0,916.0,0.05
91.0,932.0,0.05
92.0,942.0,0.05
93.0,952.0,0.05
94.0,970.0,0.05
95.0,981.0,0.05
96.0,998.0,0.05
97.0,1020.0,0.05
98.0,1049.0,0.05
99.0,1059.0,0.05
100.0,1065.0,0.05
101.0,1084.0,0.05
102.0,1089.0,0.05
103.0,1110.0,0.05
104.0,1130.0,0.05
105.0,1136.0,0.05
106.0,1145.0,0.05
107.0,1146.0,0.05
108.0,1157.0,0.05
109.0,1166.0,0.05
110.0,1177.0,0.05
111.0,1184.0,0.05
112.0,1197.0,0.05
113.0,1207.0,0.05
114.0,1210.0,0.05
115.0,1215.0,0.05
116.0,1229.0,0.05
117.0,1233.0,0.05
