mjd,mag,magerr
0.0,0.0,0.05
1.0,16.0,0.05
2.0,31.0,0.05
3.0,42.0,0.05
4.0,61.0,0.05
5.0,75.0,0.05
6.0,97.0,0.05
7.0,137.0,0.05
8.0,154.0,0.05
9.0,159.0,0.05
10.0,188.0,0.05
11.0,210.0,0.05
12.0,225.0,0.05
13.0,239.0,0.05
14.0,256.0,0.05
15.0,264.0,0.05
16.0,327.0,0.05
17.0,345.0,0.05
18.0,363.0,0.05
19.0,385.0,0.05
20.0,434.0,0.05
21.0,458.0,0.05
22.0,497.0,0.05
23.0,539.0,0.05
24.0,563.0,0.05
25.0,607.0,0.05
26.0,636.0,0.05
27.0,672.0,0.05
28.0,689.0,0.05
29.0,707.0,0.05
30.0,737.0,0.05
31.0,768.0,0.05
32.0,789.0,0.05
33.0,829.0,0.05
34.0,878.0,0.05
35.0,917.0,0.05
36.0,966.0,0.05
37.0,1028.0,0.05
38.0,1065.0,0.05
39.0,1115.0,0.05
40.0,1159.0,0.05
41.0,1197.0,0.05
42.0,1240.0,0.05
43.0,1262.0,0.05
44.0,1276.0,0.05
45.0,1313.0,0.05
46.0,1357.0,0.05
47.0,1380.0,0.05
48.0,1423.0,0.05
49.0,1457.0,0.05
50.0,1502.0,0.05
51.0,1609.0,0.05
52.0,1677.0,0.05
53.0,1763.0,0.05
54.0,1783.0,0.05
55.0,1818.0,0.05
56.0,1884.0,0.05
57.0,1929.0,0.05
58.0,1950.0,0.05
59.0,1973.0,0.05
60.0,2016.0,0.05
61.0,2123.0,0.05
62.0,2205.0,0.05
63.0,2296.0,0.05
64.0,2350.0,0.05
65.0,2383.0,0.05
66.0,2557.0,0.05
67.0,2616.0,0.05
68.0,2667.0,0.05
69.0,2700.0,0.05
70.0,2801.0,0.05
71.0,2958.0,0.05
72.0,3075.0,0.05
73.0,3125.0,0.05
74.0,3158.0,0.05
75.0,3201.0,0.05
76.0,3216.0,0.05
77.0,3242.0,0.05
78.0,3374.0,0.05
79.0,3466.0,0.05
80.0,3530.0,0.05
81.0,3566.0,0.05
82.0,3594.0,0.05
83.0,3627.0,0.05
84.0,3670.0,0.05
85.0,3736.0,0.05
86.0,3826.0,0.05
87.0,3885.0,0.05
88.0,3931.0,0.05
89.0,4007.0,0.05
90.0,4064.0,0.05
91.0,4109.0,0.05
92.0,4138.0,0.05
93.0,4166.0,0.05
94.0,4200.0,0.05
95.0,4250.0,0.05
96.0,4268.0,0.05
97.0,4344.0,0.05
98.0,4388.0,0.05
99.0,4428.0,0.05
100.0,4442.0,0.05
101.0,4490.0,0.05
102.0,4506.0,0.05
103.0,4530.0,0.05
104.0,4555.0,0.05
105.0,4594.0,0.05
106.0,4636.0,0.05
107.0,4648.0,0.05
108.0,4678.0,0.05
109.0,4706.0,0.05
110.0,4729.0,0.05
111.0,4752.0,0.05
112.0,4771.0,0.05
113.0,4796.0,0.05
114.0,4817.0,0.05
115.0,4840.0,0.05
116.0,4873.0,0.05
117.0,4895.0,0.05
118.0,4915.0,0.05
119.0,4932.0,0.05
120.0,4946.0,0.05
121.0,4958.0,0.05
122.0,4983.0,0.05
123.0,5014.0,0.05
124.0,5050.0,0.05
125.0,5077.0,0.05
126.0,5092.0,0.05
127.0,5106.0,0.05
128.0,5119.0,0.05
129.0,5141.0,0.05
130.0,5149.0,0.05
131.0,5164.0,0.05
132.0,5183.0,0.05
133.0,5201.0,0.05
134.0,5216.0,0.05
135.0,5230.0,0.05
136.0,5246.0,0.05
137.0,5254.0,0.05
138.0,5274.0,0.05
139.0,5302.0,0.05
140.0,5333.0,0.05
141.0,5358.0,0.05
142.0,5386.0,0.05
143.0,5401.0,0.05
144.0,5431.0,0.05
145.0,5453.0,0.05
146.0,5487.0,0.05
147.0,5521.0,0.05
148.0,5542.0,0.05
149.0,5569.0,0.05
150.0,5606.0,0.05
151.0,5627.0,0.05
152.0,5656.0,0.05
153.0,5679.0,0.05
154.0,5706.0,0.05
155.0,5739.0,0.05
156.0,5757.0,0.05
