mjd,mag,magerr
0.0,0.0,0.05
1.0,3.0,0.05
2.0,18.0,0.05
3.0,31.0,0.05
4.0,51.0,0.05
5.0,68.0,0.05
6.0,123.0,0.05
7.0,286.0,0.05
8.0,309.0,0.05
9.0,356.0,0.05
10.0,386.0,0.05
11.0,400.0,0.05
12.0,421.0,0.05
13.0,438.0,0.05
14.0,519.0,0.05
15.0,527.0,0.05
16.0,544.0,0.05
17.0,568.0,0.05
18.0,582.0,0.05
19.0,610.0,0.05
20.0,625.0,0.05
21.0,632.0,0.05
22.0,633.0,0.05
23.0,659.0,0.05
24.0,678.0,0.05
25.0,693.0,0.05
26.0,703.0,0.05
27.0,715.0,0.05
28.0,716.0,0.05
29.0,716.0,0.05
30.0,730.0,0.05
31.0,743.0,0.05
32.0,745.0,0.05
33.0,753.0,0.05
34.0,757.0,0.05
35.0,759.0,0.05
36.0,759.0,0.05
37.0,768.0,0.05
38.0,775.0,0.05
39.0,779.0,0.05
40.0,782.0,0.05
41.0,784.0,0.05
42.0,784.0,0.05
43.0,786.0,0.05
44.0,789.0,0.05
45.0,794.0,0.05
46.0,801.0,0.05
47.0,804.0,0.05
48.0,808.0,0.05
49.0,812.0,0.05
50.0,812.0,0.05
51.0,814.0,0.05
52.0,814.0,0.05
53.0,817.0,0.05
54.0,819.0,0.05
55.0,819.0,0.05
56.0,819.0,0.05
57.0,821.0,0.05
58.0,826.0,0.05
59.0,827.0,0.05
60.0,828.0,0.05
61.0,828.0,0.05
62.0,828.0,0.05
63.0,828.0,0.05
64.0,829.0,0.05
65.0,848.0,0.05
66.0,851.0,0.05
67.0,855.0,0.05
68.0,857.0,0.05
69.0,861.0,0.05
70.0,861.0,0.05
71.0,861.0,0.05
72.0,864.0,0.05
73.0,865.0,0.05
74.0,870.0,0.05
75.0,870.0,0.05
76.0,873.0,0.05
77.0,875.0,0.05
78.0,875.0,0.05
79.0,875.0,0.05
80.0,882.0,0.05
81.0,884.0,0.05
82.0,885.0,0.05
83.0,888.0,0.05
84.0,889.0,0.05
85.0,889.0,0.05
86.0,892.0,0.05
87.0,895.0,0.05
88.0,898.0,0.05
89.0,900.0,0.05
90.0,902.0,0.05
91.0,903.0,0.05
92.0,903.0,0.05
93.0,906.0,0.05
94.0,907.0,0.05
95.0,907.0,0.05
96.0,909.0,0.05
97.0,910.0,0.05
98.0,912.0,0.05
99.0,913.0,0.05
100.0,914.0,0.05
101.0,917.0,0.05
102.0,919.0,0.05
103.0,919.0,0.05
104.0,919.0,0.05
105.0,921.0,0.05
106.0,921.0,0.05
107.0,924.0,0.05
108.0,925.0,0.05
