mjd,mag,magerr
0.0,0.0,0.05
1.0,0.0,0.05
2.0,3.0,0.05
3.0,8.0,0.05
4.0,14.0,0.05
5.0,19.0,0.05
6.0,26.0,0.05
7.0,35.0,0.05
8.0,50.0,0.05
9.0,55.0,0.05
10.0,68.0,0.05
11.0,77.0,0.05
12.0,83.0,0.05
13.0,98.0,0.05
14.0,113.0,0.05
15.0,119.0,0.05
16.0,136.0,0.05
17.0,152.0,0.05
18.0,167.0,0.05
19.0,173.0,0.05
20.0,201.0,0.05
21.0,217.0,0.05
22.0,229.0,0.05
23.0,240.0,0.05
24.0,251.0,0.05
25.0,265.0,0.05
26.0,265.0,0.05
27.0,279.0,0.05
28.0,327.0,0.05
29.0,333.0,0.05
30.0,353.0,0.05
31.0,380.0,0.05
32.0,398.0,0.05
33.0,414.0,0.05
34.0,432.0,0.05
35.0,458.0,0.05
36.0,476.0,0.05
37.0,515.0,0.05
38.0,536.0,0.05
39.0,554.0,0.05
40.0,572.0,0.05
41.0,641.0,0.05
42.0,684.0,0.05
43.0,708.0,0.05
44.0,729.0,0.05
45.0,751.0,0.05
46.0,772.0,0.05
47.0,797.0,0.05
48.0,813.0,0.05
49.0,827.0,0.05
50.0,860.0,0.05
51.0,886.0,0.05
52.0,901.0,0.05
53.0,924.0,0.05
54.0,937.0,0.05
55.0,937.0,0.05
56.0,951.0,0.05
57.0,986.0,0.05
58.0,1024.0,0.05
59.0,1033.0,0.05
60.0,1048.0,0.05
61.0,1057.0,0.05
62.0,1057.0,0.05
63.0,1113.0,0.05
64.0,1145.0,0.05
65.0,1186.0,0.05
66.0,1198.0,0.05
67.0,1215.0,0.05
68.0,1229.0,0.05
69.0,1288.0,0.05
70.0,1303.0,0.05
71.0,1383.0,0.05
72.0,1425.0,0.05
73.0,1482.0,0.05
74.0,1547.0,0.05
75.0,1576.0,0.05
76.0,1619.0,0.05
77.0,1644.0,0.05
78.0,1704.0,0.05
79.0,1704.0,0.05
80.0,1781.0,0.05
81.0,1799.0,0.05
82.0,1834.0,0.05
83.0,1863.0,0.05
84.0,1882.0,0.05
85.0,1917.0,0.05
86.0,1935.0,0.05
87.0,1950.0,0.05
88.0,1959.0,0.05
89.0,1980.0,0.05
90.0,2003.0,0.05
91.0,2023.0,0.05
92.0,2042.0,0.05
93.0,2057.0,0.05
94.0,2057.0,0.05
95.0,2069.0,0.05
96.0,2079.0,0.05
97.0,2090.0,0.05
98.0,2110.0,0.05
99.0,2123.0,0.05
100.0,2126.0,0.05
101.0,2139.0,0.05
102.0,2161.0,0.05
103.0,2175.0,0.05
104.0,2188.0,0.05
105.0,2212.0,0.05
106.0,2223.0,0.05
107.0,2236.0,0.05
108.0,2252.0,0.05
109.0,2269.0,0.05
110.0,2296.0,0.05
111.0,2311.0,0.05
112.0,2321.0,0.05
113.0,2332.0,0.05
114.0,2362.0,0.05
