mjd,mag,magerr
0.0,0.0,0.05
1.0,1.0,0.05
2.0,10.0,0.05
3.0,14.0,0.05
4.0,26.0,0.05
5.0,41.0,0.05
6.0,50.0,0.05
7.0,56.0,0.05
8.0,68.0,0.05
9.0,77.0,0.05
10.0,84.0,0.05
11.0,97.0,0.05
12.0,106.0,0.05
13.0,111.0,0.05
14.0,114.0,0.05
15.0,121.0,0.05
16.0,129.0,0.05
17.0,146.0,0.05
18.0,146.0,0.05
19.0,169.0,0.05
20.0,174.0,0.05
21.0,181.0,0.05
22.0,183.0,0.05
23.0,189.0,0.05
24.0,208.0,0.05
25.0,225.0,0.05
26.0,239.0,0.05
27.0,273.0,0.05
28.0,291.0,0.05
29.0,302.0,0.05
30.0,313.0,0.05
31.0,337.0,0.05
32.0,347.0,0.05
33.0,362.0,0.05
34.0,381.0,0.05
35.0,411.0,0.05
36.0,429.0,0.05
37.0,443.0,0.05
38.0,455.0,0.05
39.0,479.0,0.05
40.0,500.0,0.05
41.0,521.0,0.05
42.0,532.0,0.05
43.0,546.0,0.05
44.0,560.0,0.05
45.0,597.0,0.05
46.0,611.0,0.05
47.0,611.0,0.05
48.0,642.0,0.05
49.0,694.0,0.05
50.0,707.0,0.05
51.0,720.0,0.05
52.0,732.0,0.05
53.0,761.0,0.05
54.0,761.0,0.05
55.0,798.0,0.05
56.0,850.0,0.05
57.0,870.0,0.05
58.0,887.0,0.05
59.0,929.0,0.05
60.0,974.0,0.05
61.0,995.0,0.05
62.0,1048.0,0.05
63.0,1078.0,0.05
64.0,1111.0,0.05
65.0,1124.0,0.05
66.0,1190.0,0.05
67.0,1234.0,0.05
68.0,1273.0,0.05
69.0,1315.0,0.05
70.0,1358.0,0.05
71.0,1376.0,0.05
72.0,1393.0,0.05
73.0,1417.0,0.05
74.0,1447.0,0.05
75.0,1509.0,0.05
76.0,1565.0,0.05
77.0,1601.0,0.05
78.0,1626.0,0.05
79.0,1647.0,0.05
80.0,1698.0,0.05
81.0,1719.0,0.05
82.0,1783.0,0.05
83.0,1820.0,0.05
84.0,1869.0,0.05
85.0,1895.0,0.05
86.0,1909.0,0.05
87.0,1930.0,0.05
88.0,1990.0,0.05
89.0,2050.0,0.05
90.0,2089.0,0.05
91.0,2116.0,0.05
92.0,2133.0,0.05
93.0,2159.0,0.05
94.0,2185.0,0.05
95.0,2223.0,0.05
96.0,2315.0,0.05
97.0,2334.0,0.05
98.0,2392.0,0.05
99.0,2408.0,0.05
100.0,2427.0,0.05
101.0,2457.0,0.05
102.0,2486.0,0.05
103.0,2532.0,0.05
104.0,2553.0,0.05
105.0,2587.0,0.05
106.0,2592.0,0.05
107.0,2599.0,0.05
108.0,2623.0,0.05
109.0,2652.0,0.05
110.0,2670.0,0.05
111.0,2688.0,0.05
112.0,2699.0,0.05
113.0,2710.0,0.05
114.0,2713.0,0.05
115.0,2725.0,0.05
116.0,2732.0,0.05
117.0,2746.0,0.05
118.0,2750.0,0.05
119.0,2766.0,0.05
120.0,2771.0,0.05
121.0,2779.0,0.05
122.0,2786.0,0.05
123.0,2794.0,0.05
124.0,2806.0,0.05
125.0,2820.0,0.05
126.0,2830.0,0.05
127.0,2839.0,0.05
128.0,2846.0,0.05
129.0,2851.0,0.05
130.0,2871.0,0.05
131.0,2887.0,0.05
132.0,2904.0,0.05
133.0,2925.0,0.05
134.0,2933.0,0.05
135.0,2936.0,0.05
136.0,2946.0,0.05
137.0,2958.0,0.05
138.0,2973.0,0.05
139.0,2978.0,0.05
140.0,2979.0,0.05
141.0,2982.0,0.05
142.0,2987.0,0.05
143.0,2994.0,0.05
144.0,3004.0,0.05
145.0,3008.0,0.05
146.0,3019.0,0.05
147.0,3019.0,0.05
148.0,3019.0,0.05
149.0,3023.0,0.05
150.0,3025.0,0.05
151.0,3028.0,0.05
152.0,3033.0,0.05
153.0,3035.0,0.05
154.0,3040.0,0.05
155.0,3046.0,0.05
156.0,3052.0,0.05
157.0,3060.0,0.05
158.0,3067.0,0.05
159.0,3074.0,0.05
160.0,3082.0,0.05
161.0,3092.0,0.05
162.0,3092.0,0.05
163.0,3095.0,0.05
164.0,3102.0,0.05
165.0,3109.0,0.05
166.0,3117.0,0.05
167.0,3127.0,0.05
168.0,3138.0,0.05
169.0,3142.0,0.05
170.0,3145.0,0.05
171.0,3156.0,0.05
172.0,3165.0,0.05
173.0,3169.0,0.05
174.0,3181.0,0.05
175.0,3190.0,0.05
176.0,3199.0,0.05
177.0,3199.0,0.05
178.0,3205.0,0.05
179.0,3210.0,0.05
180.0,3220.0,0.05
181.0,3223.0,0.05
182.0,3221.0,0.05
183.0,3221.0,0.05
184.0,3221.0,0.05
185.0,3229.0,0.05
186.0,3236.0,0.05
187.0,3239.0,0.05
188.0,3249.0,0.05
189.0,3254.0,0.05
190.0,3256.0,0.05
191.0,3257.0,0.05
192.0,3258.0,0.05
193.0,3265.0,0.05
194.0,3278.0,0.05
195.0,3284.0,0.05
196.0,3288.0,0.05
197.0,3292.0,0.05
198.0,3294.0,0.05
199.0,3300.0,0.05
200.0,3305.0,0.05
201.0,3312.0,0.05
202.0,3310.0,0.05
203.0,3310.0,0.05
204.0,3312.0,0.05
205.0,3312.0,0.05
206.0,3312.0,0.05
207.0,3313.0,0.05
208.0,3318.0,0.05
209.0,3321.0,0.05
210.0,3325.0,0.05
211.0,3326.0,0.05
212.0,3327.0,0.05
213.0,3329.0,0.05
214.0,3328.0,0.05
215.0,3328.0,0.05
216.0,3328.0,0.05
217.0,3332.0,0.05
218.0,3335.0,0.05
219.0,3336.0,0.05
220.0,3336.0,0.05
221.0,3336.0,0.05
222.0,3337.0,0.05
