mjd,mag,magerr
0.0,0.0,0.05
1.0,23.0,0.05
2.0,36.0,0.05
3.0,52.0,0.05
4.0,86.0,0.05
5.0,131.0,0.05
6.0,161.0,0.05
7.0,188.0,0.05
8.0,208.0,0.05
9.0,218.0,0.05
10.0,247.0,0.05
11.0,283.0,0.05
12.0,309.0,0.05
13.0,322.0,0.05
14.0,351.0,0.05
15.0,378.0,0.05
16.0,400.0,0.05
17.0,436.0,0.05
18.0,477.0,0.05
19.0,553.0,0.05
20.0,599.0,0.05
21.0,621.0,0.05
22.0,673.0,0.05
23.0,705.0,0.05
24.0,717.0,0.05
25.0,766.0,0.05
26.0,766.0,0.05
27.0,842.0,0.05
28.0,895.0,0.05
29.0,927.0,0.05
30.0,942.0,0.05
31.0,1008.0,0.05
32.0,1076.0,0.05
33.0,1139.0,0.05
34.0,1211.0,0.05
35.0,1246.0,0.05
36.0,1399.0,0.05
37.0,1438.0,0.05
38.0,1478.0,0.05
39.0,1554.0,0.05
40.0,1616.0,0.05
41.0,1674.0,0.05
42.0,1746.0,0.05
43.0,1808.0,0.05
44.0,1853.0,0.05
45.0,1908.0,0.05
46.0,2007.0,0.05
47.0,2075.0,0.05
48.0,2177.0,0.05
49.0,2214.0,0.05
50.0,2282.0,0.05
51.0,2323.0,0.05
52.0,2375.0,0.05
53.0,2440.0,0.05
54.0,2440.0,0.05
55.0,2440.0,0.05
56.0,2632.0,0.05
57.0,2649.0,0.05
58.0,2678.0,0.05
59.0,2714.0,0.05
60.0,2814.0,0.05
61.0,2922.0,0.05
62.0,2922.0,0.05
63.0,3077.0,0.05
64.0,3126.0,0.05
65.0,3176.0,0.05
66.0,3220.0,0.05
67.0,3300.0,0.05
68.0,3404.0,0.05
69.0,3518.0,0.05
70.0,3628.0,0.05
71.0,3717.0,0.05
72.0,3780.0,0.05
73.0,3887.0,0.05
74.0,3967.0,0.05
75.0,4074.0,0.05
76.0,4178.0,0.05
77.0,4270.0,0.05
78.0,4329.0,0.05
79.0,4329.0,0.05
80.0,4392.0,0.05
81.0,4476.0,0.05
82.0,4576.0,0.05
83.0,4668.0,0.05
84.0,4748.0,0.05
85.0,4813.0,0.05
86.0,4858.0,0.05
87.0,4899.0,0.05
88.0,4960.0,0.05
89.0,5075.0,0.05
90.0,5113.0,0.05
91.0,5113.0,0.05
92.0,5240.0,0.05
93.0,5275.0,0.05
94.0,5301.0,0.05
95.0,5511.0,0.05
96.0,5571.0,0.05
97.0,5651.0,0.05
98.0,5685.0,0.05
99.0,5722.0,0.05
100.0,5768.0,0.05
101.0,5813.0,0.05
102.0,5875.0,0.05
103.0,5909.0,0.05
104.0,5965.0,0.05
105.0,6013.0,0.05
106.0,6057.0,0.05
107.0,6079.0,0.05
108.0,6108.0,0.05
109.0,6160.0,0.05
110.0,6210.0,0.05
111.0,6249.0,0.05
112.0,6300.0,0.05
113.0,6333.0,0.05
114.0,6352.0,0.05
115.0,6371.0,0.05
116.0,6428.0,0.05
117.0,6489.0,0.05
118.0,6532.0,0.05
119.0,6568.0,0.05
120.0,6568.0,0.05
121.0,6636.0,0.05
122.0,6655.0,0.05
123.0,6695.0,0.05
124.0,6730.0,0.05
125.0,6761.0,0.05
126.0,6807.0,0.05
127.0,6807.0,0.05
128.0,6859.0,0.05
129.0,6872.0,0.05
130.0,6897.0,0.05
131.0,6928.0,0.05
132.0,6974.0,0.05
133.0,6997.0,0.05
134.0,6997.0,0.05
135.0,7039.0,0.05
136.0,7042.0,0.05
137.0,7065.0,0.05
138.0,7085.0,0.05
139.0,7110.0,0.05
140.0,7133.0,0.05
141.0,7133.0,0.05
142.0,7180.0,0.05
143.0,7190.0,0.05
144.0,7218.0,0.05
145.0,7263.0,0.05
