mjd,mag,magerr
0.0,0.0,0.05
1.0,6.0,0.05
2.0,32.0,0.05
3.0,74.0,0.05
4.0,95.0,0.05
5.0,125.0,0.05
6.0,174.0,0.05
7.0,219.0,0.05
8.0,241.0,0.05
9.0,288.0,0.05
10.0,332.0,0.05
11.0,375.0,0.05
12.0,411.0,0.05
13.0,440.0,0.05
14.0,508.0,0.05
15.0,570.0,0.05
16.0,605.0,0.05
17.0,674.0,0.05
18.0,714.0,0.05
19.0,758.0,0.05
20.0,799.0,0.05
21.0,835.0,0.05
22.0,887.0,0.05
23.0,933.0,0.05
24.0,971.0,0.05
25.0,1035.0,0.05
26.0,1082.0,0.05
27.0,1139.0,0.05
28.0,1191.0,0.05
29.0,1214.0,0.05
30.0,1292.0,0.05
31.0,1368.0,0.05
32.0,1445.0,0.05
33.0,1519.0,0.05
34.0,1601.0,0.05
35.0,1663.0,0.05
36.0,1721.0,0.05
37.0,1797.0,0.05
38.0,1864.0,0.05
39.0,1938.0,0.05
40.0,2046.0,0.05
41.0,2120.0,0.05
42.0,2232.0,0.05
43.0,2266.0,0.05
44.0,2337.0,0.05
45.0,2388.0,0.05
46.0,2464.0,0.05
47.0,2534.0,0.05
48.0,2619.0,0.05
49.0,2648.0,0.05
50.0,2752.0,0.05
51.0,2788.0,0.05
52.0,2821.0,0.05
53.0,2851.0,0.05
54.0,2909.0,0.05
55.0,2978.0,0.05
56.0,3021.0,0.05
57.0,3031.0,0.05
58.0,3035.0,0.05
59.0,3098.0,0.05
60.0,3137.0,0.05
61.0,3184.0,0.05
62.0,3281.0,0.05
63.0,3343.0,0.05
64.0,3388.0,0.05
65.0,3424.0,0.05
66.0,3453.0,0.05
67.0,3498.0,0.05
68.0,3567.0,0.05
69.0,3653.0,0.05
70.0,3725.0,0.05
71.0,3786.0,0.05
72.0,3828.0,0.05
73.0,3870.0,0.05
74.0,3900.0,0.05
75.0,3941.0,0.05
76.0,4019.0,0.05
77.0,4050.0,0.05
78.0,4089.0,0.05
79.0,4121.0,0.05
80.0,4168.0,0.05
81.0,4189.0,0.05
82.0,4232.0,0.05
83.0,4282.0,0.05
