mjd,mag,magerr
0.0,0.0,0.05
1.0,6.0,0.05
2.0,16.0,0.05
3.0,18.0,0.05
4.0,20.0,0.05
5.0,24.0,0.05
6.0,45.0,0.05
7.0,50.0,0.05
8.0,56.0,0.05
9.0,57.0,0.05
10.0,73.0,0.05
11.0,75.0,0.05
12.0,82.0,0.05
13.0,90.0,0.05
14.0,98.0,0.05
15.0,116.0,0.05
16.0,144.0,0.05
17.0,170.0,0.05
18.0,180.0,0.05
19.0,196.0,0.05
20.0,226.0,0.05
21.0,238.0,0.05
22.0,264.0,0.05
23.0,298.0,0.05
24.0,308.0,0.05
25.0,326.0,0.05
26.0,326.0,0.05
27.0,345.0,0.05
28.0,348.0,0.05
29.0,355.0,0.05
30.0,376.0,0.05
31.0,382.0,0.05
32.0,395.0,0.05
33.0,409.0,0.05
34.0,429.0,0.05
35.0,430.0,0.05
36.0,442.0,0.05
37.0,461.0,0.05
38.0,466.0,0.05
39.0,471.0,0.05
40.0,483.0,0.05
41.0,506.0,0.05
42.0,516.0,0.05
43.0,524.0,0.05
44.0,532.0,0.05
45.0,537.0,0.05
46.0,543.0,0.05
47.0,548.0,0.05
48.0,552.0,0.05
49.0,553.0,0.05
50.0,555.0,0.05
51.0,576.0,0.05
52.0,577.0,0.05
53.0,582.0,0.05
54.0,582.0,0.05
55.0,582.0,0.05
56.0,601.0,0.05
57.0,598.0,0.05
58.0,609.0,0.05
59.0,613.0,0.05
60.0,614.0,0.05
61.0,616.0,0.05
62.0,616.0,0.05
63.0,618.0,0.05
64.0,631.0,0.05
65.0,636.0,0.05
66.0,640.0,0.05
67.0,646.0,0.05
68.0,651.0,0.05
69.0,655.0,0.05
70.0,656.0,0.05
71.0,656.0,0.05
72.0,668.0,0.05
73.0,750.0,0.05
74.0,753.0,0.05
75.0,755.0,0.05
76.0,757.0,0.05
77.0,758.0,0.05
78.0,762.0,0.05
79.0,768.0,0.05
80.0,769.0,0.05
81.0,777.0,0.05
82.0,799.0,0.05
83.0,803.0,0.05
84.0,803.0,0.05
85.0,819.0,0.05
86.0,829.0,0.05
87.0,831.0,0.05
88.0,843.0,0.05
89.0,845.0,0.05
90.0,860.0,0.05
91.0,868.0,0.05
92.0,876.0,0.05
93.0,879.0,0.05
94.0,882.0,0.05
95.0,937.0,0.05
96.0,947.0,0.05
97.0,953.0,0.05
98.0,954.0,0.05
99.0,954.0,0.05
100.0,960.0,0.05
101.0,964.0,0.05
102.0,967.0,0.05
103.0,996.0,0.05
104.0,1014.0,0.05
105.0,1014.0,0.05
106.0,1016.0,0.05
107.0,1016.0,0.05
108.0,1024.0,0.05
109.0,1040.0,0.05
110.0,1041.0,0.05
111.0,1078.0,0.05
112.0,1078.0,0.05
113.0,1084.0,0.05
114.0,1089.0,0.05
115.0,1089.0,0.05
116.0,1090.0,0.05
117.0,1096.0,0.05
118.0,1120.0,0.05
119.0,1120.0,0.05
120.0,1120.0,0.05
121.0,1124.0,0.05
122.0,1125.0,0.05
123.0,1138.0,0.05
124.0,1142.0,0.05
125.0,1147.0,0.05
126.0,1147.0,0.05
127.0,1147.0,0.05
128.0,1148.0,0.05
129.0,1149.0,0.05
130.0,1152.0,0.05
131.0,1163.0,0.05
132.0,1164.0,0.05
133.0,1164.0,0.05
134.0,1164.0,0.05
135.0,1168.0,0.05
136.0,1168.0,0.05
137.0,1168.0,0.05
138.0,1170.0,0.05
139.0,1177.0,0.05
140.0,1177.0,0.05
141.0,1177.0,0.05
142.0,1181.0,0.05
143.0,1182.0,0.05
144.0,1184.0,0.05
145.0,1183.0,0.05
146.0,1186.0,0.05
147.0,1186.0,0.05
148.0,1186.0,0.05
149.0,1186.0,0.05
150.0,1186.0,0.05
151.0,1186.0,0.05
152.0,1186.0,0.05
153.0,1187.0,0.05
154.0,1187.0,0.05
155.0,1187.0,0.05
156.0,1188.0,0.05
157.0,1188.0,0.05
158.0,1190.0,0.05
159.0,1192.0,0.05
160.0,1195.0,0.05
161.0,1195.0,0.05
162.0,1195.0,0.05
163.0,1199.0,0.05
164.0,1202.0,0.05
165.0,1204.0,0.05
166.0,1207.0,0.05
167.0,1211.0,0.05
168.0,1211.0,0.05
169.0,1211.0,0.05
170.0,1216.0,0.05
171.0,1223.0,0.05
172.0,1225.0,0.05
173.0,1226.0,0.05
174.0,1227.0,0.05
175.0,1227.0,0.05
176.0,1227.0,0.05
177.0,1228.0,0.05
178.0,1230.0,0.05
179.0,1234.0,0.05
180.0,1236.0,0.05
181.0,1238.0,0.05
182.0,1238.0,0.05
183.0,1238.0,0.05
184.0,1246.0,0.05
185.0,1250.0,0.05
186.0,1250.0,0.05
