mjd,mag,magerr
0.0,0.0,0.05
1.0,12.0,0.05
2.0,16.0,0.05
3.0,17.0,0.05
4.0,16.0,0.05
5.0,19.0,0.05
6.0,25.0,0.05
7.0,28.0,0.05
8.0,28.0,0.05
9.0,28.0,0.05
10.0,35.0,0.05
11.0,36.0,0.05
12.0,36.0,0.05
13.0,43.0,0.05
14.0,46.0,0.05
15.0,46.0,0.05
16.0,46.0,0.05
17.0,51.0,0.05
18.0,57.0,0.05
19.0,67.0,0.05
20.0,77.0,0.05
21.0,89.0,0.05
22.0,89.0,0.05
23.0,110.0,0.05
24.0,130.0,0.05
25.0,141.0,0.05
26.0,142.0,0.05
27.0,142.0,0.05
28.0,161.0,0.05
29.0,175.0,0.05
30.0,193.0,0.05
31.0,207.0,0.05
32.0,216.0,0.05
33.0,235.0,0.05
34.0,251.0,0.05
35.0,287.0,0.05
36.0,289.0,0.05
37.0,293.0,0.05
38.0,345.0,0.05
39.0,367.0,0.05
40.0,381.0,0.05
41.0,400.0,0.05
42.0,424.0,0.05
43.0,426.0,0.05
44.0,434.0,0.05
45.0,512.0,0.05
46.0,525.0,0.05
47.0,545.0,0.05
48.0,562.0,0.05
49.0,590.0,0.05
50.0,617.0,0.05
51.0,638.0,0.05
52.0,658.0,0.05
53.0,679.0,0.05
54.0,700.0,0.05
55.0,732.0,0.05
56.0,754.0,0.05
57.0,767.0,0.05
58.0,772.0,0.05
59.0,803.0,0.05
60.0,825.0,0.05
61.0,843.0,0.05
62.0,859.0,0.05
63.0,879.0,0.05
64.0,885.0,0.05
65.0,922.0,0.05
66.0,944.0,0.05
67.0,959.0,0.05
68.0,999.0,0.05
69.0,1034.0,0.05
70.0,1055.0,0.05
71.0,1066.0,0.05
72.0,1083.0,0.05
73.0,1103.0,0.05
74.0,1121.0,0.05
75.0,1137.0,0.05
76.0,1146.0,0.05
77.0,1187.0,0.05
78.0,1197.0,0.05
79.0,1222.0,0.05
80.0,1236.0,0.05
81.0,1257.0,0.05
82.0,1294.0,0.05
83.0,1303.0,0.05
84.0,1307.0,0.05
85.0,1325.0,0.05
86.0,1351.0,0.05
87.0,1365.0,0.05
88.0,1373.0,0.05
89.0,1382.0,0.05
90.0,1389.0,0.05
91.0,1404.0,0.05
92.0,1410.0,0.05
93.0,1424.0,0.05
94.0,1439.0,0.05
95.0,1448.0,0.05
96.0,1453.0,0.05
97.0,1463.0,0.05
98.0,1469.0,0.05
99.0,1474.0,0.05
100.0,1483.0,0.05
101.0,1497.0,0.05
102.0,1505.0,0.05
103.0,1515.0,0.05
104.0,1530.0,0.05
105.0,1531.0,0.05
106.0,1539.0,0.05
107.0,1546.0,0.05
108.0,1553.0,0.05
109.0,1557.0,0.05
110.0,1559.0,0.05
111.0,1563.0,0.05
112.0,1563.0,0.05
113.0,1565.0,0.05
114.0,1569.0,0.05
115.0,1571.0,0.05
116.0,1572.0,0.05
117.0,1572.0,0.05
118.0,1575.0,0.05
119.0,1579.0,0.05
120.0,1581.0,0.05
121.0,1582.0,0.05
122.0,1583.0,0.05
123.0,1585.0,0.05
124.0,1585.0,0.05
125.0,1591.0,0.05
126.0,1591.0,0.05
127.0,1593.0,0.05
128.0,1594.0,0.05
129.0,1597.0,0.05
130.0,1599.0,0.05
131.0,1600.0,0.05
132.0,1600.0,0.05
133.0,1599.0,0.05
134.0,1600.0,0.05
135.0,1600.0,0.05
136.0,1599.0,0.05
137.0,1599.0,0.05
138.0,1599.0,0.05
139.0,1600.0,0.05
140.0,1600.0,0.05
141.0,1602.0,0.05
142.0,1602.0,0.05
143.0,1602.0,0.05
144.0,1604.0,0.05
145.0,1606.0,0.05
146.0,1607.0,0.05
147.0,1607.0,0.05
148.0,1607.0,0.05
149.0,1607.0,0.05
150.0,1609.0,0.05
151.0,1610.0,0.05
152.0,1610.0,0.05
153.0,1611.0,0.05
154.0,1611.0,0.05
155.0,1613.0,0.05
156.0,1614.0,0.05
157.0,1615.0,0.05
158.0,1617.0,0.05
159.0,1621.0,0.05
160.0,1622.0,0.05
161.0,1626.0,0.05
162.0,1628.0,0.05
163.0,1629.0,0.05
164.0,1632.0,0.05
165.0,1634.0,0.05
166.0,1638.0,0.05
167.0,1641.0,0.05
168.0,1642.0,0.05
169.0,1642.0,0.05
170.0,1644.0,0.05
171.0,1647.0,0.05
172.0,1653.0,0.05
173.0,1654.0,0.05
174.0,1657.0,0.05
175.0,1657.0,0.05
176.0,1660.0,0.05
