mjd,mag,magerr
0.0,0.0,0.05
1.0,3.0,0.05
2.0,6.0,0.05
3.0,159.0,0.05
4.0,159.0,0.05
5.0,176.0,0.05
6.0,180.0,0.05
7.0,186.0,0.05
8.0,193.0,0.05
9.0,197.0,0.05
10.0,213.0,0.05
11.0,225.0,0.05
12.0,240.0,0.05
13.0,252.0,0.05
14.0,272.0,0.05
15.0,275.0,0.05
16.0,283.0,0.05
17.0,318.0,0.05
18.0,335.0,0.05
19.0,359.0,0.05
20.0,375.0,0.05
21.0,387.0,0.05
22.0,394.0,0.05
23.0,405.0,0.05
24.0,423.0,0.05
25.0,466.0,0.05
26.0,502.0,0.05
27.0,518.0,0.05
28.0,548.0,0.05
29.0,560.0,0.05
30.0,565.0,0.05
31.0,615.0,0.05
32.0,651.0,0.05
33.0,694.0,0.05
34.0,735.0,0.05
35.0,767.0,0.05
36.0,771.0,0.05
37.0,790.0,0.05
38.0,823.0,0.05
39.0,858.0,0.05
40.0,895.0,0.05
41.0,928.0,0.05
42.0,963.0,0.05
43.0,972.0,0.05
44.0,972.0,0.05
45.0,1009.0,0.05
46.0,1051.0,0.05
47.0,1082.0,0.05
48.0,1120.0,0.05
49.0,1148.0,0.05
50.0,1152.0,0.05
51.0,1164.0,0.05
52.0,1194.0,0.05
53.0,1258.0,0.05
54.0,1311.0,0.05
55.0,1333.0,0.05
56.0,1351.0,0.05
57.0,1363.0,0.05
58.0,1382.0,0.05
59.0,1456.0,0.05
60.0,1554.0,0.05
61.0,1585.0,0.05
62.0,1673.0,0.05
63.0,1691.0,0.05
64.0,1718.0,0.05
65.0,1741.0,0.05
66.0,1810.0,0.05
67.0,1857.0,0.05
68.0,1896.0,0.05
69.0,1915.0,0.05
70.0,1968.0,0.05
71.0,1985.0,0.05
72.0,1995.0,0.05
73.0,2046.0,0.05
74.0,2084.0,0.05
75.0,2115.0,0.05
76.0,2154.0,0.05
77.0,2174.0,0.05
78.0,2189.0,0.05
79.0,2202.0,0.05
80.0,2238.0,0.05
81.0,2267.0,0.05
82.0,2290.0,0.05
83.0,2309.0,0.05
84.0,2338.0,0.05
85.0,2357.0,0.05
86.0,2366.0,0.05
87.0,2392.0,0.05
88.0,2405.0,0.05
89.0,2444.0,0.05
90.0,2469.0,0.05
91.0,2484.0,0.05
92.0,2503.0,0.05
93.0,2504.0,0.05
94.0,2517.0,0.05
95.0,2527.0,0.05
96.0,2547.0,0.05
97.0,2557.0,0.05
98.0,2567.0,0.05
99.0,2570.0,0.05
100.0,2572.0,0.05
101.0,2576.0,0.05
102.0,2585.0,0.05
103.0,2593.0,0.05
