mjd,mag,magerr
0.0,0.0,0.05
1.0,3.0,0.05
2.0,15.0,0.05
3.0,28.0,0.05
4.0,41.0,0.05
5.0,54.0,0.05
6.0,71.0,0.05
7.0,92.0,0.05
8.0,98.0,0.05
9.0,107.0,0.05
10.0,122.0,0.05
11.0,139.0,0.05
12.0,141.0,0.05
13.0,148.0,0.05
14.0,165.0,0.05
15.0,176.0,0.05
16.0,183.0,0.05
17.0,203.0,0.05
18.0,229.0,0.05
19.0,255.0,0.05
20.0,272.0,0.05
21.0,283.0,0.05
22.0,288.0,0.05
23.0,308.0,0.05
24.0,315.0,0.05
25.0,322.0,0.05
26.0,336.0,0.05
27.0,340.0,0.05
28.0,365.0,0.05
29.0,384.0,0.05
30.0,407.0,0.05
31.0,424.0,0.05
32.0,441.0,0.05
33.0,466.0,0.05
34.0,480.0,0.05
35.0,507.0,0.05
36.0,518.0,0.05
37.0,546.0,0.05
38.0,581.0,0.05
39.0,610.0,0.05
40.0,643.0,0.05
41.0,663.0,0.05
42.0,701.0,0.05
43.0,736.0,0.05
44.0,756.0,0.05
45.0,777.0,0.05
46.0,803.0,0.05
47.0,830.0,0.05
48.0,847.0,0.05
49.0,877.0,0.05
50.0,886.0,0.05
51.0,902.0,0.05
52.0,931.0,0.05
53.0,963.0,0.05
54.0,985.0,0.05
55.0,1010.0,0.05
56.0,1035.0,0.05
57.0,1061.0,0.05
58.0,1084.0,0.05
59.0,1127.0,0.05
60.0,1190.0,0.05
61.0,1208.0,0.05
62.0,1263.0,0.05
63.0,1320.0,0.05
64.0,1350.0,0.05
65.0,1383.0,0.05
66.0,1433.0,0.05
67.0,1465.0,0.05
68.0,1497.0,0.05
69.0,1523.0,0.05
70.0,1565.0,0.05
71.0,1594.0,0.05
72.0,1618.0,0.05
73.0,1644.0,0.05
74.0,1684.0,0.05
75.0,1718.0,0.05
76.0,1760.0,0.05
77.0,1801.0,0.05
78.0,1846.0,0.05
79.0,1904.0,0.05
80.0,1945.0,0.05
81.0,1976.0,0.05
82.0,1996.0,0.05
83.0,2038.0,0.05
84.0,2104.0,0.05
85.0,2156.0,0.05
86.0,2209.0,0.05
87.0,2233.0,0.05
88.0,2288.0,0.05
89.0,2343.0,0.05
90.0,2362.0,0.05
91.0,2402.0,0.05
92.0,2411.0,0.05
93.0,2421.0,0.05
94.0,2434.0,0.05
95.0,2466.0,0.05
96.0,2477.0,0.05
97.0,2512.0,0.05
98.0,2533.0,0.05
99.0,2536.0,0.05
100.0,2540.0,0.05
101.0,2559.0,0.05
102.0,2568.0,0.05
103.0,2583.0,0.05
104.0,2594.0,0.05
