mjd,mag,magerr
0.0,0.0,0.05
1.0,26.0,0.05
2.0,37.0,0.05
3.0,38.0,0.05
4.0,59.0,0.05
5.0,73.0,0.05
6.0,83.0,0.05
7.0,91.0,0.05
8.0,100.0,0.05
9.0,100.0,0.05
10.0,116.0,0.05
11.0,127.0,0.05
12.0,141.0,0.05
13.0,159.0,0.05
14.0,172.0,0.05
15.0,175.0,0.05
16.0,186.0,0.05
17.0,197.0,0.05
18.0,219.0,0.05
19.0,232.0,0.05
20.0,259.0,0.05
21.0,275.0,0.05
22.0,289.0,0.05
23.0,300.0,0.05
24.0,314.0,0.05
25.0,326.0,0.05
26.0,336.0,0.05
27.0,349.0,0.05
28.0,373.0,0.05
29.0,379.0,0.05
30.0,407.0,0.05
31.0,424.0,0.05
32.0,445.0,0.05
33.0,466.0,0.05
34.0,493.0,0.05
35.0,510.0,0.05
36.0,525.0,0.05
37.0,533.0,0.05
38.0,558.0,0.05
39.0,588.0,0.05
40.0,614.0,0.05
41.0,637.0,0.05
42.0,665.0,0.05
43.0,675.0,0.05
44.0,678.0,0.05
45.0,702.0,0.05
46.0,748.0,0.05
47.0,788.0,0.05
48.0,833.0,0.05
49.0,867.0,0.05
50.0,880.0,0.05
51.0,910.0,0.05
52.0,941.0,0.05
53.0,983.0,0.05
54.0,1035.0,0.05
55.0,1085.0,0.05
56.0,1108.0,0.05
57.0,1117.0,0.05
58.0,1127.0,0.05
59.0,1158.0,0.05
60.0,1223.0,0.05
61.0,1267.0,0.05
62.0,1362.0,0.05
63.0,1393.0,0.05
64.0,1408.0,0.05
65.0,1416.0,0.05
66.0,1423.0,0.05
67.0,1464.0,0.05
68.0,1506.0,0.05
69.0,1568.0,0.05
70.0,1611.0,0.05
71.0,1624.0,0.05
72.0,1632.0,0.05
73.0,1651.0,0.05
74.0,1688.0,0.05
75.0,1715.0,0.05
76.0,1765.0,0.05
77.0,1808.0,0.05
78.0,1816.0,0.05
79.0,1836.0,0.05
80.0,1845.0,0.05
81.0,1885.0,0.05
82.0,1920.0,0.05
83.0,1952.0,0.05
84.0,2004.0,0.05
85.0,2015.0,0.05
86.0,2019.0,0.05
87.0,2060.0,0.05
88.0,2072.0,0.05
89.0,2111.0,0.05
90.0,2127.0,0.05
91.0,2166.0,0.05
92.0,2170.0,0.05
93.0,2176.0,0.05
94.0,2202.0,0.05
