mjd,mag,magerr
0.0,0.0,0.05
1.0,15.0,0.05
2.0,27.0,0.05
3.0,50.0,0.05
4.0,71.0,0.05
5.0,94.0,0.05
6.0,206.0,0.05
7.0,217.0,0.05
8.0,247.0,0.05
9.0,263.0,0.05
10.0,304.0,0.05
11.0,307.0,0.05
12.0,348.0,0.05
13.0,370.0,0.05
14.0,392.0,0.05
15.0,391.0,0.05
16.0,363.0,0.05
17.0,398.0,0.05
18.0,425.0,0.05
19.0,445.0,0.05
20.0,464.0,0.05
21.0,467.0,0.05
22.0,474.0,0.05
23.0,505.0,0.05
24.0,525.0,0.05
25.0,545.0,0.05
26.0,545.0,0.05
27.0,574.0,0.05
28.0,579.0,0.05
29.0,593.0,0.05
30.0,609.0,0.05
31.0,653.0,0.05
32.0,669.0,0.05
33.0,709.0,0.05
34.0,732.0,0.05
35.0,755.0,0.05
36.0,778.0,0.05
37.0,804.0,0.05
38.0,827.0,0.05
39.0,858.0,0.05
40.0,880.0,0.05
41.0,901.0,0.05
42.0,906.0,0.05
43.0,942.0,0.05
44.0,960.0,0.05
45.0,977.0,0.05
46.0,1003.0,0.05
47.0,1028.0,0.05
48.0,1068.0,0.05
49.0,1077.0,0.05
50.0,1090.0,0.05
51.0,1118.0,0.05
52.0,1148.0,0.05
53.0,1166.0,0.05
54.0,1166.0,0.05
55.0,1166.0,0.05
56.0,1204.0,0.05
57.0,1205.0,0.05
58.0,1245.0,0.05
59.0,1277.0,0.05
60.0,1291.0,0.05
61.0,1327.0,0.05
62.0,1327.0,0.05
63.0,1341.0,0.05
64.0,1387.0,0.05
65.0,1420.0,0.05
66.0,1442.0,0.05
67.0,1474.0,0.05
68.0,1475.0,0.05
69.0,1517.0,0.05
70.0,1527.0,0.05
71.0,1528.0,0.05
72.0,1608.0,0.05
73.0,1620.0,0.05
74.0,1652.0,0.05
75.0,1674.0,0.05
76.0,1702.0,0.05
77.0,1706.0,0.05
78.0,1740.0,0.05
79.0,1768.0,0.05
80.0,1775.0,0.05
81.0,1793.0,0.05
82.0,1814.0,0.05
83.0,1813.0,0.05
84.0,1813.0,0.05
85.0,1827.0,0.05
86.0,1824.0,0.05
87.0,1823.0,0.05
88.0,1832.0,0.05
89.0,1831.0,0.05
90.0,1838.0,0.05
91.0,1833.0,0.05
92.0,1847.0,0.05
93.0,1849.0,0.05
94.0,1849.0,0.05
95.0,1855.0,0.05
96.0,1855.0,0.05
97.0,1852.0,0.05
98.0,1853.0,0.05
99.0,1850.0,0.05
100.0,1856.0,0.05
101.0,1858.0,0.05
102.0,1857.0,0.05
103.0,1861.0,0.05
104.0,1866.0,0.05
105.0,1866.0,0.05
106.0,1874.0,0.05
107.0,1874.0,0.05
108.0,1887.0,0.05
109.0,1887.0,0.05
110.0,1890.0,0.05
111.0,1896.0,0.05
112.0,1896.0,0.05
113.0,1903.0,0.05
114.0,1909.0,0.05
115.0,1909.0,0.05
116.0,1910.0,0.05
117.0,1912.0,0.05
118.0,1921.0,0.05
119.0,1921.0,0.05
120.0,1921.0,0.05
121.0,1924.0,0.05
122.0,1926.0,0.05
123.0,1928.0,0.05
124.0,1929.0,0.05
125.0,1928.0,0.05
126.0,1928.0,0.05
127.0,1928.0,0.05
128.0,1929.0,0.05
129.0,1928.0,0.05
130.0,1928.0,0.05
131.0,1929.0,0.05
132.0,1929.0,0.05
133.0,1929.0,0.05
134.0,1929.0,0.05
135.0,1936.0,0.05
136.0,1936.0,0.05
137.0,1941.0,0.05
138.0,1942.0,0.05
139.0,1947.0,0.05
140.0,1947.0,0.05
141.0,1947.0,0.05
142.0,1946.0,0.05
143.0,1947.0,0.05
144.0,1947.0,0.05
145.0,1947.0,0.05
146.0,1949.0,0.05
147.0,1949.0,0.05
148.0,1949.0,0.05
149.0,1950.0,0.05
150.0,1948.0,0.05
151.0,1946.0,0.05
152.0,1946.0,0.05
153.0,1947.0,0.05
154.0,1947.0,0.05
155.0,1947.0,0.05
156.0,1950.0,0.05
157.0,1950.0,0.05
158.0,1952.0,0.05
159.0,1956.0,0.05
160.0,1959.0,0.05
161.0,1959.0,0.05
162.0,1959.0,0.05
163.0,1961.0,0.05
164.0,1964.0,0.05
165.0,1965.0,0.05
166.0,1966.0,0.05
167.0,1969.0,0.05
168.0,1969.0,0.05
169.0,1969.0,0.05
170.0,1971.0,0.05
171.0,1971.0,0.05
172.0,1973.0,0.05
173.0,1974.0,0.05
174.0,1976.0,0.05
175.0,1976.0,0.05
176.0,1976.0,0.05
177.0,1980.0,0.05
178.0,1980.0,0.05
179.0,2002.0,0.05
180.0,2006.0,0.05
181.0,2007.0,0.05
182.0,2007.0,0.05
183.0,2007.0,0.05
184.0,2015.0,0.05
185.0,2020.0,0.05
186.0,2021.0,0.05
