mjd,mag,magerr
0.0,0.0,0.05
1.0,31.0,0.05
2.0,62.0,0.05
3.0,106.0,0.05
4.0,147.0,0.05
5.0,175.0,0.05
6.0,207.0,0.05
7.0,272.0,0.05
8.0,309.0,0.05
9.0,341.0,0.05
10.0,399.0,0.05
11.0,447.0,0.05
12.0,479.0,0.05
13.0,541.0,0.05
14.0,581.0,0.05
15.0,615.0,0.05
16.0,637.0,0.05
17.0,678.0,0.05
18.0,716.0,0.05
19.0,776.0,0.05
20.0,805.0,0.05
21.0,833.0,0.05
22.0,843.0,0.05
23.0,862.0,0.05
24.0,879.0,0.05
25.0,905.0,0.05
26.0,923.0,0.05
27.0,923.0,0.05
28.0,975.0,0.05
29.0,995.0,0.05
30.0,1001.0,0.05
31.0,1033.0,0.05
32.0,1048.0,0.05
33.0,1082.0,0.05
34.0,1127.0,0.05
35.0,1174.0,0.05
36.0,1185.0,0.05
37.0,1201.0,0.05
38.0,1233.0,0.05
39.0,1267.0,0.05
40.0,1334.0,0.05
41.0,1373.0,0.05
42.0,1394.0,0.05
43.0,1407.0,0.05
44.0,1444.0,0.05
45.0,1450.0,0.05
46.0,1466.0,0.05
47.0,1515.0,0.05
48.0,1536.0,0.05
49.0,1548.0,0.05
50.0,1563.0,0.05
51.0,1570.0,0.05
52.0,1581.0,0.05
53.0,1615.0,0.05
54.0,1637.0,0.05
55.0,1651.0,0.05
56.0,1651.0,0.05
57.0,1677.0,0.05
58.0,1701.0,0.05
59.0,1711.0,0.05
60.0,1742.0,0.05
61.0,1768.0,0.05
62.0,1775.0,0.05
63.0,1775.0,0.05
64.0,1826.0,0.05
65.0,1837.0,0.05
66.0,1850.0,0.05
67.0,1879.0,0.05
68.0,1916.0,0.05
69.0,1933.0,0.05
70.0,1950.0,0.05
71.0,1985.0,0.05
72.0,2002.0,0.05
73.0,2019.0,0.05
74.0,2027.0,0.05
75.0,2056.0,0.05
76.0,2073.0,0.05
77.0,2094.0,0.05
78.0,2099.0,0.05
79.0,2105.0,0.05
80.0,2118.0,0.05
81.0,2125.0,0.05
82.0,2142.0,0.05
83.0,2148.0,0.05
84.0,2160.0,0.05
85.0,2169.0,0.05
86.0,2177.0,0.05
87.0,2182.0,0.05
88.0,2188.0,0.05
89.0,2201.0,0.05
90.0,2209.0,0.05
91.0,2217.0,0.05
92.0,2225.0,0.05
93.0,2234.0,0.05
94.0,2240.0,0.05
95.0,2245.0,0.05
96.0,2263.0,0.05
97.0,2267.0,0.05
98.0,2276.0,0.05
99.0,2276.0,0.05
100.0,2276.0,0.05
101.0,2283.0,0.05
102.0,2285.0,0.05
103.0,2293.0,0.05
104.0,2303.0,0.05
105.0,2310.0,0.05
106.0,2310.0,0.05
107.0,2311.0,0.05
108.0,2333.0,0.05
109.0,2341.0,0.05
110.0,2343.0,0.05
111.0,2344.0,0.05
112.0,2346.0,0.05
113.0,2349.0,0.05
114.0,2349.0,0.05
115.0,2350.0,0.05
116.0,2354.0,0.05
117.0,2358.0,0.05
118.0,2359.0,0.05
119.0,2366.0,0.05
120.0,2368.0,0.05
121.0,2368.0,0.05
122.0,2373.0,0.05
123.0,2378.0,0.05
124.0,2387.0,0.05
125.0,2389.0,0.05
126.0,2392.0,0.05
127.0,2397.0,0.05
128.0,2397.0,0.05
129.0,2404.0,0.05
130.0,2406.0,0.05
131.0,2409.0,0.05
132.0,2412.0,0.05
133.0,2415.0,0.05
134.0,2417.0,0.05
135.0,2417.0,0.05
136.0,2418.0,0.05
137.0,2423.0,0.05
138.0,2425.0,0.05
139.0,2430.0,0.05
140.0,2434.0,0.05
141.0,2434.0,0.05
142.0,2434.0,0.05
143.0,2434.0,0.05
144.0,2440.0,0.05
145.0,2446.0,0.05
146.0,2449.0,0.05
147.0,2452.0,0.05
148.0,2455.0,0.05
149.0,2455.0,0.05
150.0,2458.0,0.05
151.0,2457.0,0.05
152.0,2467.0,0.05
153.0,2470.0,0.05
154.0,2471.0,0.05
155.0,2477.0,0.05
156.0,2477.0,0.05
157.0,2480.0,0.05
158.0,2487.0,0.05
159.0,2491.0,0.05
160.0,2499.0,0.05
161.0,2507.0,0.05
162.0,2509.0,0.05
163.0,2509.0,0.05
164.0,2517.0,0.05
165.0,2521.0,0.05
166.0,2531.0,0.05
167.0,2537.0,0.05
168.0,2541.0,0.05
169.0,2541.0,0.05
170.0,2541.0,0.05
171.0,2547.0,0.05
172.0,2552.0,0.05
173.0,2556.0,0.05
174.0,2562.0,0.05
175.0,2566.0,0.05
176.0,2572.0,0.05
177.0,2574.0,0.05
178.0,2579.0,0.05
179.0,2584.0,0.05
180.0,2595.0,0.05
181.0,2599.0,0.05
182.0,2605.0,0.05
183.0,2609.0,0.05
184.0,2609.0,0.05
185.0,2628.0,0.05
186.0,2636.0,0.05
187.0,2647.0,0.05
188.0,2655.0,0.05
189.0,2658.0,0.05
190.0,2662.0,0.05
191.0,2662.0,0.05
192.0,2671.0,0.05
193.0,2681.0,0.05
194.0,2685.0,0.05
195.0,2683.0,0.05
196.0,2693.0,0.05
197.0,2693.0,0.05
198.0,2693.0,0.05
199.0,2705.0,0.05
200.0,2714.0,0.05
201.0,2716.0,0.05
202.0,2717.0,0.05
203.0,2717.0,0.05
204.0,2720.0,0.05
205.0,2720.0,0.05
206.0,2722.0,0.05
207.0,2728.0,0.05
208.0,2730.0,0.05
209.0,2733.0,0.05
210.0,2733.0,0.05
211.0,2733.0,0.05
212.0,2735.0,0.05
213.0,2735.0,0.05
214.0,2739.0,0.05
215.0,2743.0,0.05
216.0,2744.0,0.05
217.0,2744.0,0.05
218.0,2744.0,0.05
219.0,2743.0,0.05
220.0,2745.0,0.05
221.0,2747.0,0.05
222.0,2753.0,0.05
223.0,2760.0,0.05
224.0,2760.0,0.05
225.0,2760.0,0.05
226.0,2763.0,0.05
227.0,2762.0,0.05
228.0,2764.0,0.05
229.0,2764.0,0.05
230.0,2768.0,0.05
231.0,2768.0,0.05
232.0,2768.0,0.05
233.0,2770.0,0.05
234.0,2770.0,0.05
235.0,2771.0,0.05
236.0,2773.0,0.05
237.0,2773.0,0.05
238.0,2773.0,0.05
239.0,2773.0,0.05
240.0,2773.0,0.05
241.0,2774.0,0.05
242.0,2777.0,0.05
243.0,2777.0,0.05
