mjd,mag,magerr
0.0,0.0,0.05
1.0,62.0,0.05
2.0,116.0,0.05
3.0,143.0,0.05
4.0,181.0,0.05
5.0,258.0,0.05
6.0,296.0,0.05
7.0,391.0,0.05
8.0,465.0,0.05
9.0,506.0,0.05
10.0,602.0,0.05
11.0,674.0,0.05
12.0,752.0,0.05
13.0,786.0,0.05
14.0,957.0,0.05
15.0,957.0,0.05
16.0,1038.0,0.05
17.0,1155.0,0.05
18.0,1188.0,0.05
19.0,1269.0,0.05
20.0,1368.0,0.05
21.0,1451.0,0.05
22.0,1500.0,0.05
23.0,1589.0,0.05
24.0,1628.0,0.05
25.0,1695.0,0.05
26.0,1797.0,0.05
27.0,1857.0,0.05
28.0,1874.0,0.05
29.0,1921.0,0.05
30.0,2007.0,0.05
31.0,2051.0,0.05
32.0,2091.0,0.05
33.0,2161.0,0.05
34.0,2223.0,0.05
35.0,2284.0,0.05
36.0,2342.0,0.05
37.0,2409.0,0.05
38.0,2462.0,0.05
39.0,2501.0,0.05
40.0,2579.0,0.05
41.0,2579.0,0.05
42.0,2705.0,0.05
43.0,2754.0,0.05
44.0,2811.0,0.05
45.0,2851.0,0.05
46.0,2896.0,0.05
47.0,2971.0,0.05
48.0,3040.0,0.05
49.0,3091.0,0.05
50.0,3114.0,0.05
51.0,3216.0,0.05
52.0,3255.0,0.05
53.0,3295.0,0.05
54.0,3354.0,0.05
55.0,3392.0,0.05
56.0,3429.0,0.05
57.0,3464.0,0.05
58.0,3484.0,0.05
59.0,3529.0,0.05
60.0,3587.0,0.05
61.0,3677.0,0.05
62.0,3777.0,0.05
63.0,3829.0,0.05
64.0,3921.0,0.05
65.0,3940.0,0.05
66.0,3980.0,0.05
67.0,4051.0,0.05
68.0,4122.0,0.05
69.0,4225.0,0.05
70.0,4316.0,0.05
71.0,4388.0,0.05
72.0,4426.0,0.05
73.0,4460.0,0.05
74.0,4502.0,0.05
75.0,4584.0,0.05
76.0,4629.0,0.05
77.0,4681.0,0.05
78.0,4703.0,0.05
79.0,4744.0,0.05
80.0,4785.0,0.05
81.0,4815.0,0.05
82.0,4875.0,0.05
83.0,4911.0,0.05
84.0,4949.0,0.05
85.0,4975.0,0.05
86.0,4992.0,0.05
87.0,5017.0,0.05
88.0,5049.0,0.05
89.0,5088.0,0.05
90.0,5118.0,0.05
91.0,5139.0,0.05
92.0,5153.0,0.05
93.0,5173.0,0.05
94.0,5184.0,0.05
95.0,5207.0,0.05
96.0,5232.0,0.05
97.0,5267.0,0.05
98.0,5280.0,0.05
99.0,5291.0,0.05
100.0,5302.0,0.05
101.0,5311.0,0.05
102.0,5335.0,0.05
103.0,5362.0,0.05
104.0,5374.0,0.05
105.0,5385.0,0.05
106.0,5393.0,0.05
107.0,5412.0,0.05
108.0,5422.0,0.05
109.0,5426.0,0.05
110.0,5443.0,0.05
111.0,5462.0,0.05
112.0,5469.0,0.05
113.0,5479.0,0.05
114.0,5496.0,0.05
115.0,5501.0,0.05
116.0,5509.0,0.05
117.0,5523.0,0.05
118.0,5530.0,0.05
119.0,5536.0,0.05
120.0,5539.0,0.05
121.0,5544.0,0.05
