mjd,mag,magerr
0.0,0.0,0.05
1.0,2.0,0.05
2.0,10.0,0.05
3.0,10.0,0.05
4.0,27.0,0.05
5.0,29.0,0.05
6.0,35.0,0.05
7.0,51.0,0.05
8.0,54.0,0.05
9.0,71.0,0.05
10.0,78.0,0.05
11.0,95.0,0.05
12.0,110.0,0.05
13.0,123.0,0.05
14.0,137.0,0.05
15.0,166.0,0.05
16.0,179.0,0.05
17.0,184.0,0.05
18.0,193.0,0.05
19.0,222.0,0.05
20.0,229.0,0.05
21.0,244.0,0.05
22.0,258.0,0.05
23.0,267.0,0.05
24.0,275.0,0.05
25.0,283.0,0.05
26.0,290.0,0.05
27.0,297.0,0.05
28.0,330.0,0.05
29.0,339.0,0.05
30.0,349.0,0.05
31.0,370.0,0.05
32.0,397.0,0.05
33.0,409.0,0.05
34.0,414.0,0.05
35.0,455.0,0.05
36.0,467.0,0.05
37.0,494.0,0.05
38.0,511.0,0.05
39.0,558.0,0.05
40.0,574.0,0.05
41.0,596.0,0.05
42.0,619.0,0.05
43.0,672.0,0.05
44.0,709.0,0.05
45.0,745.0,0.05
46.0,795.0,0.05
47.0,823.0,0.05
48.0,866.0,0.05
49.0,866.0,0.05
50.0,919.0,0.05
51.0,948.0,0.05
52.0,962.0,0.05
53.0,987.0,0.05
54.0,1005.0,0.05
55.0,1005.0,0.05
56.0,1051.0,0.05
57.0,1070.0,0.05
58.0,1084.0,0.05
59.0,1130.0,0.05
60.0,1161.0,0.05
61.0,1179.0,0.05
62.0,1179.0,0.05
63.0,1262.0,0.05
64.0,1273.0,0.05
65.0,1284.0,0.05
66.0,1306.0,0.05
67.0,1327.0,0.05
68.0,1380.0,0.05
69.0,1392.0,0.05
70.0,1412.0,0.05
71.0,1445.0,0.05
72.0,1448.0,0.05
73.0,1460.0,0.05
74.0,1476.0,0.05
75.0,1484.0,0.05
76.0,1503.0,0.05
77.0,1509.0,0.05
78.0,1525.0,0.05
79.0,1530.0,0.05
80.0,1538.0,0.05
81.0,1549.0,0.05
82.0,1576.0,0.05
83.0,1591.0,0.05
84.0,1603.0,0.05
85.0,1612.0,0.05
86.0,1615.0,0.05
87.0,1624.0,0.05
88.0,1628.0,0.05
89.0,1630.0,0.05
90.0,1649.0,0.05
91.0,1653.0,0.05
92.0,1659.0,0.05
93.0,1661.0,0.05
94.0,1661.0,0.05
95.0,1667.0,0.05
96.0,1668.0,0.05
97.0,1676.0,0.05
98.0,1685.0,0.05
99.0,1687.0,0.05
100.0,1688.0,0.05
101.0,1699.0,0.05
102.0,1743.0,0.05
103.0,1763.0,0.05
104.0,1765.0,0.05
105.0,1778.0,0.05
106.0,1801.0,0.05
107.0,1815.0,0.05
108.0,1830.0,0.05
109.0,1833.0,0.05
110.0,1835.0,0.05
111.0,1836.0,0.05
112.0,1837.0,0.05
113.0,1838.0,0.05
114.0,1840.0,0.05
115.0,1844.0,0.05
116.0,1846.0,0.05
117.0,1853.0,0.05
118.0,1856.0,0.05
119.0,1857.0,0.05
120.0,1860.0,0.05
121.0,1860.0,0.05
122.0,1859.0,0.05
123.0,1862.0,0.05
124.0,1864.0,0.05
125.0,1868.0,0.05
126.0,1869.0,0.05
127.0,1873.0,0.05
128.0,1874.0,0.05
129.0,1877.0,0.05
130.0,1879.0,0.05
131.0,1882.0,0.05
132.0,1882.0,0.05
133.0,1882.0,0.05
134.0,1882.0,0.05
135.0,1885.0,0.05
136.0,1892.0,0.05
137.0,1895.0,0.05
138.0,1901.0,0.05
139.0,1907.0,0.05
140.0,1907.0,0.05
141.0,1907.0,0.05
142.0,1923.0,0.05
143.0,1930.0,0.05
144.0,1938.0,0.05
145.0,1943.0,0.05
146.0,1949.0,0.05
147.0,1949.0,0.05
148.0,1949.0,0.05
149.0,1957.0,0.05
150.0,1959.0,0.05
151.0,1965.0,0.05
152.0,1975.0,0.05
153.0,1975.0,0.05
154.0,1975.0,0.05
155.0,1975.0,0.05
156.0,1987.0,0.05
157.0,1990.0,0.05
158.0,1998.0,0.05
159.0,2009.0,0.05
160.0,2010.0,0.05
161.0,2010.0,0.05
162.0,2010.0,0.05
163.0,2023.0,0.05
164.0,2024.0,0.05
165.0,2034.0,0.05
166.0,2035.0,0.05
167.0,2040.0,0.05
168.0,2040.0,0.05
169.0,2040.0,0.05
170.0,2046.0,0.05
171.0,2047.0,0.05
172.0,2054.0,0.05
173.0,2077.0,0.05
174.0,2083.0,0.05
175.0,2083.0,0.05
176.0,2083.0,0.05
177.0,2088.0,0.05
178.0,2091.0,0.05
179.0,2101.0,0.05
180.0,2103.0,0.05
181.0,2113.0,0.05
182.0,2113.0,0.05
183.0,2113.0,0.05
184.0,2118.0,0.05
185.0,2118.0,0.05
186.0,2117.0,0.05
187.0,2120.0,0.05
188.0,2120.0,0.05
189.0,2120.0,0.05
190.0,2120.0,0.05
191.0,2127.0,0.05
192.0,2131.0,0.05
193.0,2135.0,0.05
194.0,2137.0,0.05
195.0,2138.0,0.05
196.0,2138.0,0.05
197.0,2138.0,0.05
198.0,2134.0,0.05
199.0,2135.0,0.05
200.0,2137.0,0.05
201.0,2137.0,0.05
202.0,2137.0,0.05
203.0,2137.0,0.05
204.0,2137.0,0.05
205.0,2138.0,0.05
206.0,2137.0,0.05
207.0,2137.0,0.05
208.0,2138.0,0.05
209.0,2141.0,0.05
210.0,2141.0,0.05
