mjd,mag,magerr
0.0,0.0,0.05
1.0,45.0,0.05
2.0,62.0,0.05
3.0,122.0,0.05
4.0,211.0,0.05
5.0,264.0,0.05
6.0,384.0,0.05
7.0,462.0,0.05
8.0,493.0,0.05
9.0,569.0,0.05
10.0,620.0,0.05
11.0,710.0,0.05
12.0,790.0,0.05
13.0,806.0,0.05
14.0,912.0,0.05
15.0,1003.0,0.05
16.0,1068.0,0.05
17.0,1125.0,0.05
18.0,1197.0,0.05
19.0,1265.0,0.05
20.0,1328.0,0.05
21.0,1369.0,0.05
22.0,1496.0,0.05
23.0,1543.0,0.05
24.0,1610.0,0.05
25.0,1690.0,0.05
26.0,1690.0,0.05
27.0,1894.0,0.05
28.0,1976.0,0.05
29.0,2061.0,0.05
30.0,2093.0,0.05
31.0,2147.0,0.05
32.0,2247.0,0.05
33.0,2328.0,0.05
34.0,2439.0,0.05
35.0,2542.0,0.05
36.0,2620.0,0.05
37.0,2701.0,0.05
38.0,2784.0,0.05
39.0,2871.0,0.05
40.0,3021.0,0.05
41.0,3169.0,0.05
42.0,3351.0,0.05
43.0,3520.0,0.05
44.0,3607.0,0.05
45.0,3700.0,0.05
46.0,3819.0,0.05
47.0,3915.0,0.05
48.0,4076.0,0.05
49.0,4194.0,0.05
50.0,4296.0,0.05
51.0,4388.0,0.05
52.0,4528.0,0.05
53.0,4672.0,0.05
54.0,4672.0,0.05
55.0,4672.0,0.05
56.0,5029.0,0.05
57.0,5079.0,0.05
58.0,5129.0,0.05
59.0,5212.0,0.05
60.0,5403.0,0.05
61.0,5564.0,0.05
62.0,5564.0,0.05
63.0,5937.0,0.05
64.0,6032.0,0.05
65.0,6124.0,0.05
66.0,6240.0,0.05
67.0,6371.0,0.05
68.0,6528.0,0.05
69.0,6810.0,0.05
70.0,7119.0,0.05
71.0,7336.0,0.05
72.0,7473.0,0.05
73.0,7603.0,0.05
74.0,7739.0,0.05
75.0,7914.0,0.05
76.0,8115.0,0.05
77.0,8221.0,0.05
78.0,8379.0,0.05
79.0,8379.0,0.05
80.0,8579.0,0.05
81.0,8713.0,0.05
82.0,8841.0,0.05
83.0,9024.0,0.05
84.0,9114.0,0.05
85.0,9233.0,0.05
86.0,9348.0,0.05
87.0,9428.0,0.05
88.0,9563.0,0.05
89.0,9708.0,0.05
90.0,9848.0,0.05
91.0,9848.0,0.05
92.0,10109.0,0.05
93.0,10208.0,0.05
94.0,10294.0,0.05
95.0,10481.0,0.05
96.0,10590.0,0.05
97.0,10685.0,0.05
98.0,10768.0,0.05
99.0,10853.0,0.05
100.0,10935.0,0.05
101.0,10994.0,0.05
102.0,11072.0,0.05
103.0,11224.0,0.05
104.0,11326.0,0.05
105.0,11395.0,0.05
106.0,11451.0,0.05
107.0,11527.0,0.05
108.0,11575.0,0.05
109.0,11661.0,0.05
110.0,11744.0,0.05
111.0,11826.0,0.05
112.0,11876.0,0.05
113.0,11921.0,0.05
114.0,11998.0,0.05
115.0,12050.0,0.05
116.0,12131.0,0.05
117.0,12178.0,0.05
118.0,12205.0,0.05
119.0,12244.0,0.05
120.0,12244.0,0.05
121.0,12310.0,0.05
122.0,12338.0,0.05
123.0,12365.0,0.05
124.0,12426.0,0.05
125.0,12470.0,0.05
126.0,12515.0,0.05
127.0,12515.0,0.05
128.0,12581.0,0.05
129.0,12605.0,0.05
130.0,12659.0,0.05
131.0,12721.0,0.05
132.0,12789.0,0.05
133.0,12821.0,0.05
134.0,12821.0,0.05
135.0,12942.0,0.05
136.0,12984.0,0.05
137.0,13049.0,0.05
138.0,13112.0,0.05
139.0,13202.0,0.05
140.0,13270.0,0.05
141.0,13270.0,0.05
142.0,13397.0,0.05
143.0,13412.0,0.05
144.0,13520.0,0.05
145.0,13583.0,0.05
146.0,13675.0,0.05
147.0,13675.0,0.05
148.0,13675.0,0.05
149.0,13825.0,0.05
150.0,13858.0,0.05
151.0,13909.0,0.05
152.0,13974.0,0.05
153.0,13974.0,0.05
154.0,13974.0,0.05
155.0,13974.0,0.05
156.0,14162.0,0.05
157.0,14234.0,0.05
158.0,14264.0,0.05
159.0,14330.0,0.05
160.0,14403.0,0.05
161.0,14403.0,0.05
162.0,14403.0,0.05
163.0,14555.0,0.05
164.0,14588.0,0.05
165.0,14663.0,0.05
166.0,14724.0,0.05
167.0,14803.0,0.05
168.0,14803.0,0.05
169.0,14803.0,0.05
170.0,14995.0,0.05
171.0,15020.0,0.05
172.0,15076.0,0.05
173.0,15138.0,0.05
174.0,15213.0,0.05
175.0,15213.0,0.05
176.0,15213.0,0.05
177.0,15345.0,0.05
178.0,15374.0,0.05
179.0,15424.0,0.05
180.0,15469.0,0.05
181.0,15527.0,0.05
182.0,15527.0,0.05
183.0,15527.0,0.05
184.0,15640.0,0.05
185.0,15683.0,0.05
186.0,15718.0,0.05
187.0,15753.0,0.05
188.0,15819.0,0.05
189.0,15819.0,0.05
190.0,15819.0,0.05
191.0,15917.0,0.05
192.0,15938.0,0.05
193.0,15976.0,0.05
194.0,16003.0,0.05
195.0,16030.0,0.05
196.0,16030.0,0.05
197.0,16030.0,0.05
198.0,16114.0,0.05
199.0,16127.0,0.05
200.0,16137.0,0.05
201.0,16159.0,0.05
202.0,16175.0,0.05
203.0,16175.0,0.05
204.0,16175.0,0.05
205.0,16217.0,0.05
206.0,16226.0,0.05
207.0,16243.0,0.05
208.0,16266.0,0.05
209.0,16286.0,0.05
210.0,16286.0,0.05
211.0,16286.0,0.05
212.0,16286.0,0.05
213.0,16319.0,0.05
214.0,16323.0,0.05
215.0,16332.0,0.05
216.0,16341.0,0.05
217.0,16341.0,0.05
218.0,16341.0,0.05
219.0,16366.0,0.05
220.0,16369.0,0.05
221.0,16373.0,0.05
222.0,16383.0,0.05
223.0,16393.0,0.05
224.0,16393.0,0.05
225.0,16393.0,0.05
226.0,16415.0,0.05
227.0,16418.0,0.05
228.0,16429.0,0.05
229.0,16435.0,0.05
230.0,16440.0,0.05
231.0,16440.0,0.05
232.0,16440.0,0.05
233.0,16456.0,0.05
234.0,16460.0,0.05
235.0,16466.0,0.05
236.0,16466.0,0.05
237.0,16468.0,0.05
238.0,16468.0,0.05
