mjd,mag,magerr
0.0,0.0,0.05
1.0,57.0,0.05
2.0,112.0,0.05
3.0,202.0,0.05
4.0,305.0,0.05
5.0,402.0,0.05
6.0,593.0,0.05
7.0,775.0,0.05
8.0,877.0,0.05
9.0,973.0,0.05
10.0,1118.0,0.05
11.0,1266.0,0.05
12.0,1429.0,0.05
13.0,1576.0,0.05
14.0,1669.0,0.05
15.0,1792.0,0.05
16.0,1887.0,0.05
17.0,2040.0,0.05
18.0,2123.0,0.05
19.0,2272.0,0.05
20.0,2417.0,0.05
21.0,2540.0,0.05
22.0,2620.0,0.05
23.0,2713.0,0.05
24.0,2807.0,0.05
25.0,2921.0,0.05
26.0,3034.0,0.05
27.0,3107.0,0.05
28.0,3190.0,0.05
29.0,3243.0,0.05
30.0,3292.0,0.05
31.0,3469.0,0.05
32.0,3554.0,0.05
33.0,3632.0,0.05
34.0,3731.0,0.05
35.0,3812.0,0.05
36.0,3881.0,0.05
37.0,3941.0,0.05
38.0,4029.0,0.05
39.0,4104.0,0.05
40.0,4165.0,0.05
41.0,4215.0,0.05
42.0,4282.0,0.05
43.0,4350.0,0.05
44.0,4427.0,0.05
45.0,4490.0,0.05
46.0,4565.0,0.05
47.0,4669.0,0.05
48.0,4729.0,0.05
49.0,4790.0,0.05
50.0,4837.0,0.05
51.0,4877.0,0.05
52.0,4927.0,0.05
53.0,4992.0,0.05
54.0,5076.0,0.05
55.0,5122.0,0.05
56.0,5140.0,0.05
57.0,5181.0,0.05
58.0,5232.0,0.05
59.0,5274.0,0.05
60.0,5350.0,0.05
61.0,5423.0,0.05
62.0,5423.0,0.05
63.0,5558.0,0.05
64.0,5600.0,0.05
65.0,5653.0,0.05
66.0,5737.0,0.05
67.0,5817.0,0.05
68.0,5903.0,0.05
69.0,6000.0,0.05
70.0,6075.0,0.05
71.0,6139.0,0.05
72.0,6197.0,0.05
73.0,6279.0,0.05
74.0,6347.0,0.05
75.0,6430.0,0.05
76.0,6488.0,0.05
77.0,6539.0,0.05
78.0,6590.0,0.05
79.0,6640.0,0.05
80.0,6689.0,0.05
81.0,6742.0,0.05
82.0,6793.0,0.05
83.0,6858.0,0.05
84.0,6944.0,0.05
85.0,6990.0,0.05
86.0,7013.0,0.05
87.0,7061.0,0.05
88.0,7109.0,0.05
89.0,7159.0,0.05
90.0,7241.0,0.05
91.0,7289.0,0.05
92.0,7317.0,0.05
93.0,7350.0,0.05
94.0,7384.0,0.05
95.0,7408.0,0.05
96.0,7450.0,0.05
97.0,7503.0,0.05
98.0,7531.0,0.05
99.0,7550.0,0.05
100.0,7572.0,0.05
101.0,7598.0,0.05
102.0,7634.0,0.05
103.0,7678.0,0.05
104.0,7701.0,0.05
105.0,7723.0,0.05
106.0,7746.0,0.05
107.0,7767.0,0.05
108.0,7779.0,0.05
109.0,7797.0,0.05
110.0,7816.0,0.05
111.0,7842.0,0.05
112.0,7862.0,0.05
113.0,7880.0,0.05
114.0,7893.0,0.05
115.0,7911.0,0.05
116.0,7922.0,0.05
117.0,7960.0,0.05
118.0,7990.0,0.05
119.0,8011.0,0.05
120.0,8033.0,0.05
121.0,8051.0,0.05
122.0,8069.0,0.05
123.0,8101.0,0.05
124.0,8115.0,0.05
125.0,8143.0,0.05
126.0,8169.0,0.05
127.0,8180.0,0.05
128.0,8188.0,0.05
129.0,8202.0,0.05
130.0,8216.0,0.05
131.0,8241.0,0.05
132.0,8252.0,0.05
133.0,8280.0,0.05
134.0,8307.0,0.05
135.0,8314.0,0.05
136.0,8321.0,0.05
137.0,8351.0,0.05
138.0,8369.0,0.05
139.0,8388.0,0.05
140.0,8406.0,0.05
141.0,8426.0,0.05
142.0,8436.0,0.05
143.0,8449.0,0.05
144.0,8482.0,0.05
145.0,8499.0,0.05
146.0,8522.0,0.05
147.0,8544.0,0.05
148.0,8568.0,0.05
149.0,8592.0,0.05
150.0,8626.0,0.05
151.0,8660.0,0.05
152.0,8693.0,0.05
153.0,8727.0,0.05
154.0,8760.0,0.05
155.0,8775.0,0.05
156.0,8801.0,0.05
157.0,8827.0,0.05
158.0,8858.0,0.05
159.0,8894.0,0.05
160.0,8925.0,0.05
161.0,8972.0,0.05
162.0,9014.0,0.05
163.0,9040.0,0.05
164.0,9093.0,0.05
165.0,9136.0,0.05
166.0,9173.0,0.05
167.0,9218.0,0.05
168.0,9268.0,0.05
169.0,9292.0,0.05
170.0,9322.0,0.05
171.0,9358.0,0.05
172.0,9391.0,0.05
173.0,9426.0,0.05
174.0,9467.0,0.05
175.0,9507.0,0.05
176.0,9526.0,0.05
177.0,9559.0,0.05
178.0,9575.0,0.05
179.0,9616.0,0.05
180.0,9654.0,0.05
181.0,9701.0,0.05
182.0,9730.0,0.05
183.0,9752.0,0.05
184.0,9775.0,0.05
185.0,9801.0,0.05
186.0,9828.0,0.05
187.0,9836.0,0.05
188.0,9868.0,0.05
189.0,9892.0,0.05
190.0,9915.0,0.05
191.0,9931.0,0.05
192.0,9947.0,0.05
193.0,9971.0,0.05
194.0,10012.0,0.05
195.0,10034.0,0.05
196.0,10053.0,0.05
197.0,10066.0,0.05
198.0,10079.0,0.05
199.0,10092.0,0.05
200.0,10102.0,0.05
201.0,10120.0,0.05
202.0,10134.0,0.05
203.0,10141.0,0.05
204.0,10147.0,0.05
205.0,10151.0,0.05
206.0,10158.0,0.05
207.0,10182.0,0.05
208.0,10183.0,0.05
209.0,10194.0,0.05
210.0,10201.0,0.05
211.0,10205.0,0.05
212.0,10208.0,0.05
213.0,10212.0,0.05
214.0,10217.0,0.05
215.0,10220.0,0.05
216.0,10222.0,0.05
217.0,10228.0,0.05
218.0,10230.0,0.05
219.0,10232.0,0.05
220.0,10234.0,0.05
221.0,10236.0,0.05
222.0,10237.0,0.05
223.0,10240.0,0.05
224.0,10244.0,0.05
