mjd,mag,magerr
0.0,0.0,0.05
1.0,0.0,0.05
2.0,0.0,0.05
3.0,5.0,0.05
4.0,8.0,0.05
5.0,10.0,0.05
6.0,11.0,0.05
7.0,12.0,0.05
8.0,15.0,0.05
9.0,15.0,0.05
10.0,21.0,0.05
11.0,25.0,0.05
12.0,27.0,0.05
13.0,32.0,0.05
14.0,38.0,0.05
15.0,41.0,0.05
16.0,42.0,0.05
17.0,48.0,0.05
18.0,52.0,0.05
19.0,62.0,0.05
20.0,66.0,0.05
21.0,67.0,0.05
22.0,69.0,0.05
23.0,74.0,0.05
24.0,81.0,0.05
25.0,84.0,0.05
26.0,86.0,0.05
27.0,86.0,0.05
28.0,86.0,0.05
29.0,90.0,0.05
30.0,91.0,0.05
31.0,91.0,0.05
32.0,96.0,0.05
33.0,103.0,0.05
34.0,108.0,0.05
35.0,113.0,0.05
36.0,115.0,0.05
37.0,118.0,0.05
38.0,120.0,0.05
39.0,121.0,0.05
40.0,123.0,0.05
41.0,124.0,0.05
42.0,124.0,0.05
43.0,124.0,0.05
44.0,124.0,0.05
45.0,129.0,0.05
46.0,143.0,0.05
47.0,148.0,0.05
48.0,161.0,0.05
49.0,169.0,0.05
50.0,170.0,0.05
51.0,172.0,0.05
52.0,181.0,0.05
53.0,190.0,0.05
54.0,207.0,0.05
55.0,210.0,0.05
56.0,210.0,0.05
57.0,215.0,0.05
58.0,218.0,0.05
59.0,226.0,0.05
60.0,231.0,0.05
61.0,236.0,0.05
62.0,243.0,0.05
63.0,243.0,0.05
64.0,247.0,0.05
65.0,250.0,0.05
66.0,256.0,0.05
67.0,260.0,0.05
68.0,269.0,0.05
69.0,283.0,0.05
70.0,290.0,0.05
71.0,290.0,0.05
72.0,292.0,0.05
73.0,302.0,0.05
74.0,311.0,0.05
75.0,313.0,0.05
76.0,320.0,0.05
77.0,328.0,0.05
78.0,328.0,0.05
79.0,329.0,0.05
80.0,331.0,0.05
81.0,342.0,0.05
82.0,349.0,0.05
83.0,361.0,0.05
84.0,372.0,0.05
85.0,372.0,0.05
86.0,375.0,0.05
87.0,380.0,0.05
88.0,391.0,0.05
89.0,397.0,0.05
90.0,400.0,0.05
91.0,403.0,0.05
92.0,406.0,0.05
93.0,409.0,0.05
94.0,422.0,0.05
95.0,431.0,0.05
96.0,434.0,0.05
97.0,440.0,0.05
98.0,444.0,0.05
99.0,446.0,0.05
100.0,451.0,0.05
101.0,456.0,0.05
102.0,461.0,0.05
103.0,463.0,0.05
104.0,469.0,0.05
105.0,474.0,0.05
106.0,473.0,0.05
107.0,479.0,0.05
108.0,479.0,0.05
109.0,486.0,0.05
110.0,489.0,0.05
111.0,494.0,0.05
112.0,498.0,0.05
113.0,501.0,0.05
114.0,503.0,0.05
115.0,506.0,0.05
116.0,509.0,0.05
117.0,511.0,0.05
118.0,512.0,0.05
119.0,514.0,0.05
